Address,"Clean Air Act","Danger Level"
"NEW BROOKLYN-NEW FREEDOM RD",Yes,1
"NEW PROVIDENCE RD",Yes,1
"OLD FLANDERS RD",Yes,1
"ONE AVE L",Yes,1
"ONE CARNEGIE PLAZA",Yes,1
"PENNSYLVANIA AVE",Yes,1
"RANDOLPH AVE. & WOODBRIDGE RD.",Yes,1
"ROCKPORT & THOMAS RDS.",Yes,1
"RT # 524 ARDENA RD",Yes,1
"RTE 130 S",Yes,1
"RTE. 31",Yes,1
"RTE. 322 & I-295",Yes,5
"RTE. 46",Yes,1
"RTE. 565",Yes,1
"RTE. 79 & RYAN RD.",Yes,1
"S 3RD & SOMERSET ST",Yes,1
"TERMINAL WAY OFF RANDOLF AVE.",Yes,1
"TETERBORO AIRPORT",Yes,1
"TIMBER LN.",Yes,1
"UNION AVE & DUBOIS ST",Yes,1
"VERNON CROSSING RD.",Yes,1
"W BROAD ST & DEVLIN AVE",Yes,1
