Address,"Clean Air Act","Danger Level"
"16 LAW DR",Yes,1
"16 LELIARTS LN",Yes,1
"16 RICHMOND ST",Yes,1
"1700 W. FRONT ST.",Yes,1
"1701 75TH ST",Yes,1
"17-01 NEVINS RD.",Yes,1
"1702 BEVERLY RD",Yes,1
"170 BLANCHARD ST.",Yes,1
"170 RT 130 S",Yes,2
"171-191 CALDWELL AVE",Yes,1
"1717 PATERSON PLANK RD.",Yes,1
"171 CENTRAL AVE",Yes,2
"171 S NEWMAN ST",Yes,1
"173 SUSSEX ST",Yes,2
"175 RTE. 208",Yes,1
"175 TERMINAL AVE.",Yes,1
"176 THOMAS RD",Yes,1
"179 GOFFLE RD",Yes,1
"17 BLANCHARD ST.",Yes,1
"17 COMMERCE RD",Yes,1
"17 EMPIRE BLVD.",Yes,1
"17 WEST ST.",Yes,1
"1804 RIVER RD",Yes,1
"180 E. UNION AVE.",Yes,1
"1818 RIVER RD",Yes,1
"181 SARGENT AVE",Yes,1
"182 TABOR RD.",Yes,1
"18-35 RIVER RD.",Yes,1
"185 FOUNDRY ST",Yes,1
"185 SCOLES AVE.",Yes,1
"18 MALVERN ST.",Yes,1
"190 JONY DR.",Yes,1
"191 E HANOVER AVE",Yes,1
"191 E RAILWAY AVE",Yes,1
"1930 OLNEY AVE",Yes,1
"19-37 DELAWARE AVE",Yes,1
"1940 PASSAIC ST.",Yes,1
"19-47 AMES BLVD",Yes,1
"195 N  ST",Yes,1
"195 RIVER ST.",Yes,1
"196 COIT ST.",Yes,1
"196 WEST 5TH ST.",Yes,1
"199 MAIN ST.",Yes,1
"19 E. 5TH ST.",Yes,1
"19 INDUSTRIAL AVE.",Yes,1
"19 WESLEY ST",Yes,1
"1 CLIFTON BLVD",Yes,2
"1 COLOUR PL",Yes,1
"1 ESNA DR",Yes,1
"1 HICKS AVE",Yes,1
"1 INDUSTRIAL W",Yes,1
"1 JABEZ ST.",Yes,1
"1 MARKET ST",Yes,1
"1 MARKET ST.",Yes,1
"1 N CORPORATE DR",Yes,1
"1 RARITAN RD",Yes,1
"1 REAGENT LN",Yes,2
"1 RIVER RD.",Yes,1
"1 SHERIDAN AVE.",Yes,1
"1 STANLEY ST",Yes,1
"1 TENAKILL PARK",Yes,1
"1 THIRD AVE",Yes,2
"1 WASHINGTON AVE.",Yes,2
"1 W CENTRAL AVE",Yes,1
"2000 MARSHES DOCK RD",Yes,1
"20-01 POLLITT DR",Yes,2
"200-222 TERMINAL AVE",Yes,1
"200 BIRMINGHAM RD",Yes,2
"200 E. HANOVER AVE.",Yes,1
"200 ELMORA AVE",Yes,2
"200 GREGG ST.",Yes,1
"200 INDUSTRIAL AVE",Yes,1
"200 KELLOGG ST",Yes,1
"200 PULASKI ST.",Yes,1
"200 S. 1ST ST.",Yes,1
"200 WAGARAW RD",Yes,1
"20-10 MAPLE AVE.",Yes,1
"2013 MCCARTER HWY",Yes,1
"201 HWY 34 BLDG C-2",Yes,1
"201 POLITO AVE",Yes,2
"201 ROOSEVELT PL.",Yes,1
"20-21 WAGARAW RD.",Yes,1
"2025 E. LINDEN AVE.",Yes,1
"205 MAIN ST.",Yes,1
"205 MAYWOOD AVE",Yes,1
"207 19TH AVE",Yes,1
"209 N MICHIGAN AVE",Yes,1
"20 BORIGHT AVE",Yes,1
"20 CAMPUS RD",Yes,1
"20 CARBON PL.",Yes,1
"20 CONTINENTAL DR.",Yes,2
"20 CRISPIN RD",Yes,1
"20 EMPIRE BLVD",Yes,1
"20 META LN.",Yes,1
"20 NEW DUTCH LN",Yes,1
"20 SAND PARK RD.",Yes,1
"20TH & BROAD ST",Yes,1
"210 CLIFTON BLVD",Yes,1
"210 DELAWANNA AVE",Yes,1
"210 GARIBALDI AVE",Yes,1
"2115 HIGH HILL RD",Yes,1
"211 MOUNT PROSPECT AVE.",Yes,1
"211 RANDOLPH AVE",Yes,3
"2120 LAMBERTS MILL RD",Yes,1
"2121 MC CARTER HWY.",Yes,2
"21-29 INDUSTRIAL PARK",Yes,1
"214 KINGS HWY",Yes,1
"214 S. NEWMAN ST.",Yes,1
"2150 STANLEY TERRACE",Yes,1
"215 MERRY LN",Yes,1
"215 S. NEWMAN ST.",Yes,1
"216 MIDLAND AVE.",Yes,1
"217 S FIRST ST",Yes,2
"219-223 STIRLING RD.",Yes,1
"2195 ELIZABETH AVE.",Yes,1
"2199 STANLEY TERRACE",Yes,1
"219 MURRAY HILL PKY.",Yes,1
"21 CAMPUS RD.",Yes,1
"21 COTLUSS RD.",Yes,1
"21 HARRISON AVE",Yes,1
"21 HENDERSON DR",Yes,1
"21 INDUSTRIAL DR.",Yes,1
"21 WALLACE ST.",Yes,1
"220 PEGASUS AVE",Yes,1
"222 BRIDGE PLAZA S.",Yes,1
"225 BELLEVILLE AVE.",Yes,1
"225 PASSAIC ST",Yes,1
"225 THROCKMORTON ST",Yes,1
"225 WILLOWBROOK RD",Yes,1
"2270 MORRIS AVE",Yes,2
"229 E 22ND ST",Yes,2
"22 DANIEL RD E",Yes,1
"22 SOUTH AVE",Yes,1
"22 SPRING VALLEY RD.",Yes,1
"230 CULVER AVE",Yes,1
"230 KEARNEY AVE",Yes,1
"2330 VAUXHALL RD.",Yes,1
"233 CLIFTON BLVD",Yes,1
"235 E ELEVENTH AVE",Yes,1
"235 MURRAY HILL PKY.",Yes,1
"235 SNYDER AVE",Yes,1
"238 W FORT LEE RD",Yes,1
"239 SAINT NICHOLAS AVE",Yes,1
"2400 VAUXHALL RD.",Yes,1
"240 MULBERRY ST.",Yes,1
"24 1/2 VAN HOUTEN ST.",Yes,2
"244 HAZEL ST.",Yes,1
"245 MERRY LN",Yes,1
"24 AMES BLVD",Yes,1
"24 AVE. B",Yes,2
"24 BELLEVILLE AVE",Yes,1
"24  FEDERAL  PLAZA",Yes,1
"24 JACOBUS AVE.",Yes,1
"24 PARK AVE.",Yes,1
"2500 BRUNSWICK AVE",Yes,1
"250 E. 22ND ST.",Yes,1
"250 HALLS MILL RD",Yes,1
"250 HAMBURG TURNPIKE",Yes,1
"2530 POLK ST",Yes,1
"255 BLAIR RD",Yes,1
"256 VANDERPOOL ST.",Yes,2
"25 ARROW RD.",Yes,1
"25 BRIGHTON AVE.",Yes,1
"25 CHOBOT LN.",Yes,1
"25 MADISON RD.",Yes,1
"25 MCWHORTER ST",Yes,1
"25 RIVERSIDE DR.",Yes,1
"2600 MARSHES DOCK RD",Yes,2
"260 RAILROAD AVE",Yes,1
"265-77 BADGER AVE",Yes,1
"267 HOMESTEAD AVE",Yes,1
"267 UNION ST",Yes,1
"268 DOREMUS AVE",Yes,2
"26 BLANCHARD ST",Yes,1
"26 HANES DR",Yes,1
"26 JEFFERSON ST.",Yes,1
"2-6 LISTER AVE.",Yes,3
"270 CLIFTON BLVD",Yes,1
"270 PASSAIC AVE.",Yes,1
"271 MAYHILL ST",Yes,1
"27 1ST ST.",Yes,1
"273 BRANCHPORT AVE",Yes,1
"274 SOUTH ST.",Yes,1
"275 CLARK ST",Yes,1
"277 FAIRFIELD RD.",Yes,1
"27 E. 33RD ST.",Yes,1
"27 E. 33 ST.",Yes,1
"27 EIGHTH ST.",Yes,1
"27 HAYNES AVE.",Yes,1
"27 KENTUCKY AVE.",Yes,1
"280 CHESTNUT ST.",Yes,1
"280 MIDLAND AVE",Yes,1
"280 MIDLAND AVE.",Yes,1
"28-36 PATERSON ST",Yes,1
"285 EMMET ST.",Yes,1
"2901 HAMILTON BLVD",Yes,1
"290 RIVER DR.",Yes,1
"297 FERRY ST",Yes,1
"299 PACIFIC ST",Yes,1
"299 WEBRO RD",Yes,1
"29 HANOVER RD",Yes,1
"2 ACKERMAN RD",Yes,1
"2 AMBOY AVE",Yes,1
"2 BRIDEWELL PL.",Yes,1
"2 CARLTON AVENUE",Yes,1
"2 CRESCENT PL",Yes,1
"2 CUTTERS DOCK RD",Yes,1
"2 ESTERBROOK LN.",Yes,1
"2 N. HACKENSACK AVE.",Yes,1
"2 PAULISON AVE",Yes,1
"2 PLEASANT VIEW AVE",Yes,1
"2 PORETE AVE",Yes,1
"300 DOREMUS AVENUE",Yes,1
"300 FAIRFIELD RD.",Yes,1
"300 INDUSTRIAL AVE.",Yes,1
"300 MARKLEY ST",Yes,1
"300 NECK RD.",Yes,1
"300 N. ST.",Yes,1
"300 WATERLOO VALLEY RD",Yes,1
"306 COLUMBIA TURNPIKE",Yes,1
"306 SUSSEX ST.",Yes,1
"308 MIDDLESEX ST",Yes,1
"308 MILLER ST.",Yes,1
"309-327 AVE. P",Yes,2
"30 AMOR AVE",Yes,1
"30 BERGEN TURNPIKE",Yes,1
"30 SHERWOOD LN.",Yes,1
"319 2ND ST",Yes,1
"320 COLFAX AVE.",Yes,1
"320 DULTY'S LN.",Yes,1
"320 PATERSON PLANK RD",Yes,1
"325 CORPORATE DR",Yes,1
"329 NEW BRUNSWICK AVE",Yes,1
"32 EUCLID AVE.",Yes,1
"330 CENTRAL AVE",Yes,2
"335 MCLEAN BLVD.",Yes,2
"337 SHERMAN AVE",Yes,1
"3401-B TREMLEY POINT RD.",Yes,1
"340 KINGSLAND ST",Yes,1
"344 LODI ST",Yes,1
"3451 S CLINTON AVE",Yes,1
"3459 S CLINTON AVE",Yes,1
"3474 RAND AVE.",Yes,1
"3500 S. CLINTON AVE.",Yes,1
"3500 SUNSET AVE",Yes,1
"3504 ROSE AVE.",Yes,1
"350 ALLWOOD RD.",Yes,1
"350 ROOSEVELT AVE",Yes,2
"353 DANFORTH AVE.",Yes,1
"353 POWERVILLE RD",Yes,1
"354 DOREMUS AVE.",Yes,2
"355 E 54TH ST.",Yes,1
"357 HAMBURG TURNPIKE",Yes,1
"359 LEXINGTON AVE.",Yes,1
"359 VETERANS BLVD",Yes,1
"35 CUTTERS DOCK RD.",Yes,1
"35 DALE AVE.",Yes,1
"35 EMPIRE BLVD",Yes,1
"35 INDUSTRIAL RD",Yes,1
"35 MEADOWLAND PKY.",Yes,1
"3601 S. CLINTON AVE.",Yes,1
"360 MURRAY HILL PKY.",Yes,1
"3615 KENNEDY RD.",Yes,1
"363 PARK AVE.",Yes,1
"363 S JEFFERSON ST",Yes,1
"363 S ST",Yes,1
"3651 S. CLINTON AVE.",Yes,1
"36 BUTLER ST.",Yes,1
"36 MILEED WAY",Yes,2
"36 NEWBURGH RD",Yes,1
"36 PINE ST.",Yes,2
"3700 S WOOD AVE",Yes,2
"375 HUYLER ST",Yes,1
"375 METUCHEN RD.",Yes,1
"375 MT PLEASANT AVE",Yes,1
"385 COOPER RD",Yes,1
"387 FRANKLIN AVE",Yes,1
"38 BORIGHT AVE",Yes,1
"3900 S CLINTON AVE",Yes,2
"390 ADAMS ST",Yes,1
"390 CENTRAL AVE",Yes,1
"391 E. INMAN AVE.",Yes,1
"39 ATLANTIC ST.",Yes,1
"39 EVERGREEN ST.",Yes,1
"3 BORINSKI RD",Yes,1
"400 14TH ST.",Yes,1
"400 CLAREMONT AVE",Yes,1
"400 COMMERCIAL AVE.",Yes,1
"400 DOREMUS AVE",Yes,2
"400 ELBOW LN.",Yes,1
"400 GOTHAM PKY.",Yes,1
"400 INTERNATIONAL DR",Yes,1
"400 KULLER RD.",Yes,1
"400 MYRTLE AVE",Yes,1
"400 N FRONTAGE RD",Yes,1
"401 WASHINGTON AVE.",Yes,1
"405 ESSEX RD",Yes,1
"405 HERON DR.",Yes,1
"407 EGE AVE",Yes,2
"40 AVE A",Yes,1
"40 BORIGHT AVE.",Yes,1
"40 E. HANOVER AVE.",Yes,1
"40 GREEN POND RD.",Yes,1
"40 HARRY SHUPE BLVD",Yes,1
"40 LESLIE CT.",Yes,1
"40 VANDERHOOF AVE",Yes,1
"410 FRELINGHUYSEN AVE",Yes,1
"414 WILSON AVE",Yes,1
"418 FALMOUTH AVE",Yes,1
"41 BROOK AVE",Yes,1
"41 DICKERSON ST.",Yes,1
"41 MONTGOMERY ST.",Yes,1
"420 HOOK RD",Yes,2
"4-22 ERIE ST",Yes,1
"429 DELANCY ST.",Yes,1
"42 INTERVALE RD.",Yes,1
"4301A NEW BRUNSWICK AVE",Yes,1
"4301 S. CLINTON AVE.",Yes,1
"4315 NEW BRUNSWICK AVE.",Yes,1
"443 COUNTY RD",Yes,1
"449 SOUTH AVE. E.",Yes,1
"44 HEPWORTH PL",Yes,1
"4501 TREMLEY POINT RD.",Yes,2
"450 CLARK DR",Yes,1
"450 SCHUYLER AVE.",Yes,1
"453 BROAD AVE.",Yes,1
"454 ALWOOD RD",Yes,1
"456 WASHINGTON AVE.",Yes,1
"460 COIT ST.",Yes,1
"461 BROAD AVE.",Yes,1
"46 ALBERT AVE.",Yes,1
"470 FRELINGHUYSEN AVE.",Yes,1
"475 BROAD AVE",Yes,1
"475 WALNUT ST.",Yes,1
"4801 S WOOD AVE",Yes,2
"480 S. DEAN ST.",Yes,1
"481 RIVER RD.",Yes,1
"484 WASHINGTON AVE",Yes,1
"485 BLOY ST.",Yes,1
"488 MULBERRY ST.",Yes,1
"48 BURGESS PL",Yes,1
"48 E. 5TH ST.",Yes,1
"48 HORSEHILL RD",Yes,1
"4900 TREMLEY POINT RD.",Yes,1
"490 HENDRICKS CAUSEWAY",Yes,1
"495 BLVD.",Yes,1
"49 CENTRAL AVE",Yes,2
"49 RUTHERFORD ST",Yes,2
"49 VESEY ST.",Yes,1
"4 ESTERBROOK LN",Yes,1
"4 HOOK RD.",Yes,1
"5008 INDUSTRIAL RD.",Yes,1
"500 DOREMUS AVE",Yes,2
"501 LITTLE FALLS RD.",Yes,1
"5029 INDUSTRIAL RD",Yes,1
"502 YORK ST",Yes,1
"50-56 1ST AVE",Yes,1
"50 BRYLA ST",Yes,1
"50 CALIFORNIA AVENUE",Yes,1
"50 CENTRAL AVE.",Yes,1
"50 HARRISON ST.",Yes,1
"50 LACKAWANNA AVE",Yes,1
"50 MIDDLESEX AVENUE.",Yes,1
"515-519 DOWD AVE.",Yes,1
"520 SOUTH AVE.",Yes,1
"525 ORITAN AVE.",Yes,1
"52-64 VAN DYKE ST",Yes,1
"52 AMSTERDAM ST",Yes,1
"52 PARK AVE",Yes,1
"53-61 SECOND AVE",Yes,1
"550 BELMONT AVE.",Yes,2
"556 MORRIS AVE.",Yes,2
"55 LA FRANCE AVE",Yes,1
"55 PASSAIC AVE",Yes,1
"55 SCHOON AVE.",Yes,1
"55 SHEPHERDS LN.",Yes,1
"560 INDEPENDENCE ST",Yes,1
"565 EAGLE ROCK AVE",Yes,1
"57 E. CENTRE ST.",Yes,2
"57 WOOD ST.",Yes,1
"580 DIVISION ST.",Yes,1
"58 LOCUST AVE.",Yes,1
"59 RT 10",Yes,1
"59 RT 17",Yes,1
"59 SPRUCE ST",Yes,1
"5 ASTRO PL",Yes,1
"5 BADER RD",Yes,1
"5 EASTMANS RD",Yes,2
"5 HENDERSON DR.",Yes,1
"5 MANSARD CT",Yes,1
"5 N STILES ST",Yes,1
"5 STAHUBER AVE",Yes,1
"5 WELLINGTON ST",Yes,2
"600 CORTLANDT ST",Yes,1
"600 GETTY AVE.",Yes,1
"600 INDUSTRIAL RD",Yes,1
"600 MILIK ST",Yes,1
"600 OKERSON RD",Yes,1
"600 RT 440",Yes,1
"600 RYERSON RD",Yes,1
"601 WEST LINDEN AVE.",Yes,1
"60-70 CENTRAL AVE",Yes,2
"60 CEDAR LN",Yes,1
