Address,Brownfield,County,"Danger Level","Water Amount"
"11 FOUNDRY ST",N/A,WARREN,1,"448 Pounds"
"11 JACKSON RD.",N/A,PASSAIC,1,"0 Pounds"
"11 MADISON RD",N/A,ESSEX,1,"0 Pounds"
"11 WILLIAM ST.",N/A,ESSEX,1,"0 Pounds"
"1200 SYLVAN ST",N/A,UNION,2,"0 Pounds"
"1200 W. BLANCKE ST.",N/A,UNION,1,"0 Pounds"
"1201 BOWMAN AVE",N/A,MONMOUTH,1," Pounds"
"1201 W. BLANKE ST.",N/A,UNION,1,"0 Pounds"
"120 DUFFIELD AVE",N/A,HUDSON,1,"0 Pounds"
"120 INDUSTRIAL AVE",N/A,BERGEN,1,"0 Pounds"
"120 LISTER AVE.",N/A,ESSEX,1,"0 Pounds"
"120 LISTER AVE.",N/A,ESSEX,1," Pounds"
"121 HWY 35",N/A,MONMOUTH,1,"0 Pounds"
"121 TYLER ST.",N/A,ESSEX,1,"0 Pounds"
"1227 CENTRAL AVE",N/A,UNION,1,"0 Pounds"
"123 N 8TH ST",N/A,UNION,1,"0 Pounds"
"1249 NEWARK TURNPIKE",N/A,HUDSON,1,"0 Pounds"
"124 CASE DR",N/A,MIDDLESEX,1," Pounds"
"1253 NEW MARKET AVE",N/A,MIDDLESEX,1," Pounds"
"1255 RARITAN RD",N/A,UNION,1,"0 Pounds"
"125 BERGENLINE AVE.",N/A,BERGEN,1,"0 Pounds"
"125 CLARK ST.",N/A,BERGEN,1,"0 Pounds"
"125 CLIFTON BLVD",N/A,PASSAIC,1,"0 Pounds"
"125 DELAWANNA AVE.",N/A,PASSAIC,2,"0 Pounds"
"125 HAMBURG TURNPIKE",N/A,MORRIS,1,"0 Pounds"
"125 MAIN AVENUE",N/A,BERGEN,1," Pounds"
"125 NEW DUTCH LN",N/A,ESSEX,1,"0 Pounds"
"125 THEODORE CONRAD DR.",N/A,HUDSON,1,"0 Pounds"
"126 E LINCOLN AVE",N/A,UNION,2,"0 Pounds"
"126 PASSAIC ST",N/A,ESSEX,1," Pounds"
"128 DOREMUS AVE",N/A,ESSEX,2,"0 Pounds"
"128 DOREMUS AVE",N/A,ESSEX,2," Pounds"
"129 COOLIDGE AVE",N/A,BERGEN,1,"0 Pounds"
"129 DERMODY ST",N/A,UNION,1,"0 Pounds"
"129 GRAND ST.",N/A,BERGEN,2,"0 Pounds"
"129 LOCKWOOD ST",N/A,ESSEX,1," Pounds"
"12 AMSTERDAM ST",N/A,ESSEX,1,"0 Pounds"
"12 CLIFFSIDE DR.",N/A,ESSEX,1,"0 Pounds"
"12 CORK HILL RD.",N/A,SUSSEX,1,"0 Pounds"
"12 HOLLAND AVE",N/A,SOMERSET,1," Pounds"
"12 INDUSTRIAL PARK",N/A,BERGEN,1,"0 Pounds"
"12 INDUSTRIAL PARK",N/A,BERGEN,1," Pounds"
"12 RIVER RD",N/A,MORRIS,1,"0 Pounds"
"12 TIMBER LN.",N/A,MONMOUTH,1,"0 Pounds"
"1300 RARITAN RD.",N/A,UNION,1,"0 Pounds"
"1301 JEFFERSON ST",N/A,HUDSON,1,"0 Pounds"
"1301 JEFFERSON ST",N/A,HUDSON,1," Pounds"
"1301 S. PARK AVE.",N/A,UNION,1,"0 Pounds"
"130 ESSEX AVE E",N/A,MIDDLESEX,1,"5 Pounds"
"131 MARSH ST",N/A,ESSEX,1,"0 Pounds"
"134 LISTER AVE",N/A,ESSEX,2,"0 Pounds"
"1355 W. FRONT ST.",N/A,UNION,1,"0 Pounds"
"135 HAYNES AVE.",N/A,ESSEX,1,"0 Pounds"
"1384 POMPTON AVE.",N/A,ESSEX,1,"0 Pounds"
"139 HAYNES AVE",N/A,ESSEX,1,"0 Pounds"
"1400 PARK AVE",N/A,UNION,2,"0 Pounds"
"1400 PARK AVE.",N/A,UNION,1,"0 Pounds"
"1400 ROLLER RD.",N/A,MONMOUTH,1,"0 Pounds"
"1401 PARK AVE. S.",N/A,UNION,1," Pounds"
"140 E 22ND ST",N/A,HUDSON,1,"0 Pounds"
"140 GREEN POND RD.",N/A,MORRIS,1,"0 Pounds"
"140 LEGRAND AVE.",N/A,BERGEN,1,"0 Pounds"
"140 LITTLE ST.",N/A,ESSEX,1,"0 Pounds"
"1413 CHESTNUT AVE.",N/A,UNION,1,"0 Pounds"
"1413 WILLOW AVE.",N/A,HUDSON,1,"0 Pounds"
"141 MARKET ST",N/A,UNION,1,"0 Pounds"
"142 LOCKWOOD ST",N/A,ESSEX,1," Pounds"
"145 CHAPEL ST.",N/A,ESSEX,1,"0 Pounds"
"145 CHAPEL ST.",N/A,ESSEX,1,"250 Pounds"
"147 CENTRAL AVE.",N/A,BERGEN,1," Pounds"
"148 E FIFTH ST",N/A,HUDSON,1," Pounds"
"14 CENTRAL BLVD.",N/A,BERGEN,1," Pounds"
"14 CONVERY BLVD",N/A,MIDDLESEX,2,"0 Pounds"
"14 HARMICH RD.",N/A,MIDDLESEX,1,"0 Pounds"
"14 INDUSTRIAL RD",N/A,ESSEX,1,"0 Pounds"
"150 AVENEL ST.",N/A,MIDDLESEX,1,"0 Pounds"
"150 FIRMENICH WAY",N/A,ESSEX,1,"0 Pounds"
"150 FIRMENICH WAY",N/A,ESSEX,1," Pounds"
"1512 W ELIZABETH AVE",N/A,UNION,2,"0 Pounds"
"1512 W ELIZABETH AVE",N/A,UNION,2," Pounds"
"1515 HWY. 36",N/A,MONMOUTH,1,"0 Pounds"
"1525 W BLANCKE ST",N/A,UNION,1,"0 Pounds"
"154 HOBART ST",N/A,BERGEN,1,"0 Pounds"
"155 E. HANOVER AVE.",N/A,MORRIS,1,"0 Pounds"
"155 RAYMOND BLVD",N/A,ESSEX,1,"0 Pounds"
"158 MT OLIVET AVE",N/A,ESSEX,1,"0 Pounds"
"1595 MACARTHUR BLVD.",N/A,BERGEN,1,"0 Pounds"
"15 MERCEDES DR",N/A,BERGEN,1,"0 Pounds"
"1-5 PLANT RD.",N/A,BERGEN,1," Pounds"
"160 5TH ST.",N/A,PASSAIC,2,"0 Pounds"
"160 ESSEX AVE.",N/A,MIDDLESEX,2,"5 Pounds"
"160 ESSEX AVE.",N/A,MIDDLESEX,2," Pounds"
"160 E UNION AVE",N/A,BERGEN,1,"0 Pounds"
"160 TERMINAL AVE",N/A,UNION,1,"0 Pounds"
"161 COOLIDGE AVE.",N/A,BERGEN,1,"0 Pounds"
"161 RAILROAD AVE",N/A,BERGEN,1,"0 Pounds"
"161 W CLAY AVE",N/A,UNION,1,"0 Pounds"
"162 VETERANS DR",N/A,BERGEN,1,"0 Pounds"
"164 N 13TH ST",N/A,ESSEX,1,"0 Pounds"
"168 8TH AVE.",N/A,PASSAIC,1,"0 Pounds"
"16 LAW DR",N/A,ESSEX,1," Pounds"
"16 LELIARTS LN",N/A,BERGEN,1,"0 Pounds"
"16 RICHMOND ST",N/A,PASSAIC,1,"0 Pounds"
"1700 W. FRONT ST.",N/A,UNION,1," Pounds"
"1701 75TH ST",N/A,HUDSON,1,"0 Pounds"
"17-01 NEVINS RD.",N/A,BERGEN,1,"0 Pounds"
"1702 BEVERLY RD",N/A,BURLINGTON,1,"0 Pounds"
"1702 BEVERLY RD",N/A,BURLINGTON,1," Pounds"
"170 BLANCHARD ST.",N/A,ESSEX,1,"0 Pounds"
"170 RT 130 S",N/A,GLOUCESTER,2,"0 Pounds"
"170 RT 130 S",N/A,GLOUCESTER,2,"1 Pounds"
"170 RT 130 S",N/A,GLOUCESTER,2,"6 Pounds"
"171-191 CALDWELL AVE",N/A,PASSAIC,1,"0 Pounds"
"1717 PATERSON PLANK RD.",N/A,HUDSON,1,"0 Pounds"
"171 CENTRAL AVE",N/A,UNION,2,"0 Pounds"
"171 S NEWMAN ST",N/A,BERGEN,1,"0 Pounds"
"173 SUSSEX ST",N/A,HUDSON,2,"0 Pounds"
"175 RTE. 208",N/A,BERGEN,1,"0 Pounds"
"175 TERMINAL AVE.",N/A,UNION,1,"0 Pounds"
"176 THOMAS RD",N/A,WARREN,1,"5 Pounds"
"179 GOFFLE RD",N/A,PASSAIC,1,"0 Pounds"
"17 BLANCHARD ST.",N/A,ESSEX,1,"0 Pounds"
"17 COMMERCE RD",N/A,ESSEX,1,"0 Pounds"
