Address,Brownfield,County,"Danger Level","Water Amount"
"2 AMBOY AVE",N/A,MIDDLESEX,1,"0 Pounds"
"2 BRIDEWELL PL.",N/A,PASSAIC,1,"0 Pounds"
"2 CARLTON AVENUE",N/A,BERGEN,1,"0 Pounds"
"2 CRESCENT PL",N/A,MONMOUTH,1,"0 Pounds"
"2 CUTTERS DOCK RD",N/A,MIDDLESEX,1,"0 Pounds"
"2 ESTERBROOK LN.",N/A,CAMDEN,1,"0 Pounds"
"2 N. HACKENSACK AVE.",N/A,HUDSON,1,"0 Pounds"
"2 PAULISON AVE",N/A,PASSAIC,1,"0 Pounds"
"2 PAULISON AVE",N/A,PASSAIC,1," Pounds"
"2 PLEASANT VIEW AVE",N/A,WARREN,1,"0 Pounds"
"2 PORETE AVE",N/A,BERGEN,1,"0 Pounds"
"300 DOREMUS AVENUE",N/A,ESSEX,1,"0 Pounds"
"300 FAIRFIELD RD.",N/A,ESSEX,1,"0 Pounds"
"300 INDUSTRIAL AVE.",N/A,BERGEN,1," Pounds"
"300 MARKLEY ST",N/A,MIDDLESEX,1,"0 Pounds"
"300 NECK RD.",N/A,BURLINGTON,1,"0 Pounds"
"300 N. ST.",N/A,BERGEN,1,"0 Pounds"
"300 WATERLOO VALLEY RD",N/A,MORRIS,1,"0 Pounds"
"306 COLUMBIA TURNPIKE",N/A,MORRIS,1,"0 Pounds"
"306 COLUMBIA TURNPIKE",N/A,MORRIS,1,"3 Pounds"
"306 COLUMBIA TURNPIKE",N/A,MORRIS,1,"9 Pounds"
"306 SUSSEX ST.",N/A,ESSEX,1,"0 Pounds"
"308 MIDDLESEX ST",N/A,HUDSON,1,"0 Pounds"
"308 MILLER ST.",N/A,ESSEX,1,"0 Pounds"
"309-327 AVE. P",N/A,ESSEX,2,"0 Pounds"
"30 AMOR AVE",N/A,BERGEN,1,"0 Pounds"
"30 BERGEN TURNPIKE",N/A,BERGEN,1,"0 Pounds"
"30 SHERWOOD LN.",N/A,ESSEX,1,"0 Pounds"
"319 2ND ST",N/A,UNION,1," Pounds"
"320 COLFAX AVE.",N/A,PASSAIC,1,"0 Pounds"
"320 DULTY'S LN.",N/A,BURLINGTON,1," Pounds"
"320 PATERSON PLANK RD",N/A,BERGEN,1,"0 Pounds"
"325 CORPORATE DR",N/A,BERGEN,1,"0 Pounds"
"329 NEW BRUNSWICK AVE",N/A,UNION,1,"0 Pounds"
"32 EUCLID AVE.",N/A,ESSEX,1,"0 Pounds"
"330 CENTRAL AVE",N/A,UNION,2,"0 Pounds"
"335 MCLEAN BLVD.",N/A,PASSAIC,2,"0 Pounds"
"335 MCLEAN BLVD.",N/A,PASSAIC,2," Pounds"
"337 SHERMAN AVE",N/A,ESSEX,1,"0 Pounds"
"3401-B TREMLEY POINT RD.",N/A,UNION,1,"0 Pounds"
"340 KINGSLAND ST",N/A,ESSEX,1,"0 Pounds"
"344 LODI ST",N/A,BERGEN,1,"0 Pounds"
"3451 S CLINTON AVE",N/A,MIDDLESEX,1,"0 Pounds"
"3459 S CLINTON AVE",N/A,MIDDLESEX,1,"0 Pounds"
"3474 RAND AVE.",N/A,MIDDLESEX,1,"0 Pounds"
"3500 S. CLINTON AVE.",N/A,MIDDLESEX,1," Pounds"
"3500 SUNSET AVE",N/A,MONMOUTH,1,"0 Pounds"
"3504 ROSE AVE.",N/A,MONMOUTH,1,"0 Pounds"
"350 ALLWOOD RD.",N/A,PASSAIC,1," Pounds"
"350 ROOSEVELT AVE",N/A,MIDDLESEX,2,"0 Pounds"
"350 ROOSEVELT AVE",N/A,MIDDLESEX,2," Pounds"
"353 DANFORTH AVE.",N/A,HUDSON,1,"0 Pounds"
"353 POWERVILLE RD",N/A,MORRIS,1,"0 Pounds"
"354 DOREMUS AVE.",N/A,ESSEX,2,"0 Pounds"
"355 E 54TH ST.",N/A,BERGEN,1,"0 Pounds"
"357 HAMBURG TURNPIKE",N/A,PASSAIC,1," Pounds"
"359 LEXINGTON AVE.",N/A,PASSAIC,1,"0 Pounds"
"359 VETERANS BLVD",N/A,BERGEN,1,"0 Pounds"
"35 CUTTERS DOCK RD.",N/A,MIDDLESEX,1,"0 Pounds"
"35 DALE AVE.",N/A,PASSAIC,1," Pounds"
"35 EMPIRE BLVD",N/A,BERGEN,1,"0 Pounds"
"35 INDUSTRIAL RD",N/A,BERGEN,1,"0 Pounds"
"35 MEADOWLAND PKY.",N/A,HUDSON,1,"0 Pounds"
"35 MEADOWLAND PKY.",N/A,HUDSON,1," Pounds"
"3601 S. CLINTON AVE.",N/A,MIDDLESEX,1,"0 Pounds"
"360 MURRAY HILL PKY.",N/A,BERGEN,1,"0 Pounds"
"360 MURRAY HILL PKY.",N/A,BERGEN,1," Pounds"
"3615 KENNEDY RD.",N/A,MIDDLESEX,1,"0 Pounds"
"363 PARK AVE.",N/A,HUDSON,1,"0 Pounds"
"363 S JEFFERSON ST",N/A,ESSEX,1,"0 Pounds"
"363 S ST",N/A,ESSEX,1,"0 Pounds"
"3651 S. CLINTON AVE.",N/A,MIDDLESEX,1,"0 Pounds"
"36 BUTLER ST.",N/A,UNION,1,"0 Pounds"
"36 MILEED WAY",N/A,MIDDLESEX,2," Pounds"
"36 NEWBURGH RD",N/A,MORRIS,1,"0 Pounds"
"36 PINE ST.",N/A,MORRIS,2,"0 Pounds"
"3700 S WOOD AVE",N/A,UNION,2,"0 Pounds"
"375 HUYLER ST",N/A,BERGEN,1,"0 Pounds"
"375 METUCHEN RD.",N/A,MIDDLESEX,1,"0 Pounds"
"375 MT PLEASANT AVE",N/A,ESSEX,1,"0 Pounds"
"385 COOPER RD",N/A,CAMDEN,1,"0 Pounds"
"387 FRANKLIN AVE",N/A,MORRIS,1,"0 Pounds"
"387 FRANKLIN AVE",N/A,MORRIS,1,"1 Pounds"
"38 BORIGHT AVE",N/A,UNION,1,"0 Pounds"
"3900 S CLINTON AVE",N/A,MIDDLESEX,2,"0 Pounds"
"390 ADAMS ST",N/A,ESSEX,1,"0 Pounds"
"390 CENTRAL AVE",N/A,BERGEN,1,"0 Pounds"
"391 E. INMAN AVE.",N/A,MIDDLESEX,1,"0 Pounds"
"39 ATLANTIC ST.",N/A,BERGEN,1," Pounds"
"39 EVERGREEN ST.",N/A,MONMOUTH,1,"0 Pounds"
"3 BORINSKI RD",N/A,MORRIS,1,"0 Pounds"
"400 14TH ST.",N/A,BERGEN,1,"0 Pounds"
"400 CLAREMONT AVE",N/A,HUDSON,1,"0 Pounds"
"400 COMMERCIAL AVE.",N/A,BERGEN,1,"0 Pounds"
"400 DOREMUS AVE",N/A,ESSEX,2,"0 Pounds"
"400 DOREMUS AVE",N/A,ESSEX,2,"17 Pounds"
"400 DOREMUS AVE",N/A,ESSEX,2,"2 Pounds"
"400 DOREMUS AVE",N/A,ESSEX,2,"5 Pounds"
"400 DOREMUS AVE",N/A,ESSEX,2," Pounds"
"400 ELBOW LN.",N/A,BURLINGTON,1," Pounds"
"400 GOTHAM PKY.",N/A,BERGEN,1,"0 Pounds"
"400 INTERNATIONAL DR",N/A,MORRIS,1,"0 Pounds"
"400 KULLER RD.",N/A,PASSAIC,1,"0 Pounds"
"400 MYRTLE AVE",N/A,MORRIS,1,"0 Pounds"
"400 N FRONTAGE RD",N/A,MORRIS,1,"0 Pounds"
"401 WASHINGTON AVE.",N/A,BERGEN,1,"0 Pounds"
"405 ESSEX RD",N/A,MONMOUTH,1,"0 Pounds"
"405 HERON DR.",N/A,GLOUCESTER,1,"0 Pounds"
"407 EGE AVE",N/A,HUDSON,2,"0 Pounds"
"40 AVE A",N/A,HUDSON,1,"0 Pounds"
"40 BORIGHT AVE.",N/A,UNION,1,"0 Pounds"
"40 E. HANOVER AVE.",N/A,MORRIS,1,"0 Pounds"
"40 GREEN POND RD.",N/A,MORRIS,1,"0 Pounds"
"40 HARRY SHUPE BLVD",N/A,MORRIS,1," Pounds"
"40 LESLIE CT.",N/A,MORRIS,1,"0 Pounds"
"40 VANDERHOOF AVE",N/A,MORRIS,1,"0 Pounds"
"410 FRELINGHUYSEN AVE",N/A,ESSEX,1,"0 Pounds"
"414 WILSON AVE",N/A,ESSEX,1," Pounds"
"418 FALMOUTH AVE",N/A,BERGEN,1,"0 Pounds"
"41 BROOK AVE",N/A,PASSAIC,1,"0 Pounds"
"41 DICKERSON ST.",N/A,ESSEX,1,"0 Pounds"
"41 MONTGOMERY ST.",N/A,ESSEX,1,"0 Pounds"
"420 HOOK RD",N/A,HUDSON,2,"0 Pounds"
"4-22 ERIE ST",N/A,PASSAIC,1,"0 Pounds"
"429 DELANCY ST.",N/A,ESSEX,1,"0 Pounds"
"42 INTERVALE RD.",N/A,MORRIS,1," Pounds"
"4301A NEW BRUNSWICK AVE",N/A,MIDDLESEX,1," Pounds"
"4301 S. CLINTON AVE.",N/A,MIDDLESEX,1,"0 Pounds"
"4315 NEW BRUNSWICK AVE.",N/A,MIDDLESEX,1,"0 Pounds"
"443 COUNTY RD",N/A,MONMOUTH,1,"0 Pounds"
"449 SOUTH AVE. E.",N/A,UNION,1,"0 Pounds"
"44 HEPWORTH PL",N/A,BERGEN,1,"0 Pounds"
"4501 TREMLEY POINT RD.",N/A,UNION,2,"0 Pounds"
"450 CLARK DR",N/A,MORRIS,1,"0 Pounds"
"450 SCHUYLER AVE.",N/A,HUDSON,1,"2 Pounds"
"453 BROAD AVE.",N/A,BERGEN,1,"0 Pounds"
"454 ALWOOD RD",N/A,PASSAIC,1,"0 Pounds"
"456 WASHINGTON AVE.",N/A,BERGEN,1,"0 Pounds"
"460 COIT ST.",N/A,ESSEX,1,"0 Pounds"
"461 BROAD AVE.",N/A,BERGEN,1,"0 Pounds"
"46 ALBERT AVE.",N/A,ESSEX,1,"0 Pounds"
"470 FRELINGHUYSEN AVE.",N/A,ESSEX,1,"0 Pounds"
"475 BROAD AVE",N/A,BERGEN,1,"0 Pounds"
"475 WALNUT ST.",N/A,BERGEN,1," Pounds"
"4801 S WOOD AVE",N/A,UNION,2,"0 Pounds"
"4801 S WOOD AVE",N/A,UNION,2,"16 Pounds"
"4801 S WOOD AVE",N/A,UNION,2,"1 Pounds"
"4801 S WOOD AVE",N/A,UNION,2,"2 Pounds"
"4801 S WOOD AVE",N/A,UNION,2,"4.2 Pounds"
"480 S. DEAN ST.",N/A,BERGEN,1,"0 Pounds"
"481 RIVER RD.",N/A,PASSAIC,1," Pounds"
"484 WASHINGTON AVE",N/A,BERGEN,1,"0 Pounds"
"485 BLOY ST.",N/A,UNION,1,"5 Pounds"
"488 MULBERRY ST.",N/A,ESSEX,1,"0 Pounds"
"48 BURGESS PL",N/A,PASSAIC,1,"0 Pounds"
"48 E. 5TH ST.",N/A,PASSAIC,1,"0 Pounds"
"48 HORSEHILL RD",N/A,MORRIS,1," Pounds"
"4900 TREMLEY POINT RD.",N/A,UNION,1,"0 Pounds"
"490 HENDRICKS CAUSEWAY",N/A,BERGEN,1,"0 Pounds"
"495 BLVD.",N/A,BERGEN,1,"0 Pounds"
"49 CENTRAL AVE",N/A,HUDSON,2,"0 Pounds"
"49 CENTRAL AVE",N/A,HUDSON,2," Pounds"
"49 RUTHERFORD ST",N/A,ESSEX,2,"0 Pounds"
"49 VESEY ST.",N/A,ESSEX,1,"0 Pounds"
"4 ESTERBROOK LN",N/A,CAMDEN,1," Pounds"
"4 HOOK RD.",N/A,HUDSON,1,"0 Pounds"
"5008 INDUSTRIAL RD.",N/A,MONMOUTH,1,"0 Pounds"
"500 DOREMUS AVE",N/A,ESSEX,2,"0 Pounds"
"500 DOREMUS AVE",N/A,ESSEX,2," Pounds"
"501 LITTLE FALLS RD.",N/A,ESSEX,1," Pounds"
"5029 INDUSTRIAL RD",N/A,MONMOUTH,1,"0 Pounds"
"502 YORK ST",N/A,UNION,1,"0 Pounds"
"50-56 1ST AVE",N/A,PASSAIC,1," Pounds"
"50 BRYLA ST",N/A,MIDDLESEX,1,"0 Pounds"
"50 CALIFORNIA AVENUE",N/A,PASSAIC,1,"0 Pounds"
"50 CENTRAL AVE.",N/A,HUDSON,1,"0 Pounds"
"50 HARRISON ST.",N/A,HUDSON,1,"0 Pounds"
"50 LACKAWANNA AVE",N/A,MORRIS,1,"0 Pounds"
"50 MIDDLESEX AVENUE.",N/A,MIDDLESEX,1," Pounds"
"515-519 DOWD AVE.",N/A,UNION,1,"0 Pounds"
"520 SOUTH AVE.",N/A,UNION,1,"0 Pounds"
"525 ORITAN AVE.",N/A,BERGEN,1,"0 Pounds"
"52-64 VAN DYKE ST",N/A,BERGEN,1,"0 Pounds"
"52 AMSTERDAM ST",N/A,ESSEX,1,"0 Pounds"
"52 AMSTERDAM ST",N/A,ESSEX,1," Pounds"
"52 PARK AVE",N/A,BERGEN,1," Pounds"
"53-61 SECOND AVE",N/A,HUDSON,1,"0 Pounds"
"550 BELMONT AVE.",N/A,PASSAIC,2,"0 Pounds"
"556 MORRIS AVE.",N/A,UNION,2,"0 Pounds"
"55 LA FRANCE AVE",N/A,ESSEX,1,"0 Pounds"
"55 PASSAIC AVE",N/A,ESSEX,1," Pounds"
"55 SCHOON AVE.",N/A,PASSAIC,1,"0 Pounds"
"55 SHEPHERDS LN.",N/A,PASSAIC,1,"0 Pounds"
"560 INDEPENDENCE ST",N/A,WARREN,1,"0 Pounds"
"565 EAGLE ROCK AVE",N/A,ESSEX,1,"0 Pounds"
"57 E. CENTRE ST.",N/A,ESSEX,2,"0 Pounds"
"57 WOOD ST.",N/A,PASSAIC,1,"0 Pounds"
"580 DIVISION ST.",N/A,UNION,1,"0 Pounds"
"58 LOCUST AVE.",N/A,ESSEX,1,"0 Pounds"
"59 RT 10",N/A,MORRIS,1,"0 Pounds"
"59 RT 17",N/A,BERGEN,1," Pounds"
"59 SPRUCE ST",N/A,PASSAIC,1,"0 Pounds"
"5 ASTRO PL",N/A,MORRIS,1,"0 Pounds"
"5 BADER RD",N/A,MORRIS,1," Pounds"
"5 EASTMANS RD",N/A,MORRIS,2,"0 Pounds"
"5 HENDERSON DR.",N/A,ESSEX,1,"0 Pounds"
"5 MANSARD CT",N/A,PASSAIC,1,"0 Pounds"
"5 N STILES ST",N/A,UNION,1," Pounds"
"5 STAHUBER AVE",N/A,UNION,1,"0 Pounds"
"5 WELLINGTON ST",N/A,PASSAIC,2,"0 Pounds"
"600 CORTLANDT ST",N/A,ESSEX,1,"0 Pounds"
"600 GETTY AVE.",N/A,PASSAIC,1,"0 Pounds"
"600 INDUSTRIAL RD",N/A,BERGEN,1,"0 Pounds"
"600 MILIK ST",N/A,MIDDLESEX,1,"0 Pounds"
"600 OKERSON RD",N/A,MONMOUTH,1,"0 Pounds"
"600 RT 440",N/A,HUDSON,1,"0 Pounds"
"600 RYERSON RD",N/A,MORRIS,1," Pounds"
"601 WEST LINDEN AVE.",N/A,UNION,1,"0 Pounds"
"60-70 CENTRAL AVE",N/A,HUDSON,2," Pounds"
"60 CEDAR LN",N/A,BERGEN,1,"0 Pounds"
"60 LISTER AVE.",N/A,ESSEX,1,"0 Pounds"
"60 WEBRO RD",N/A,PASSAIC,1,"0 Pounds"
"610 E 36TH ST",N/A,PASSAIC,1,"0 Pounds"
"610 RAHWAY AVE",N/A,UNION,1,"0 Pounds"
"610 RIVER RD.",N/A,PASSAIC,1,"0 Pounds"
"615 RIVER RD",N/A,BERGEN,1,"0 Pounds"
"616 HOLLYWOOD AVE",N/A,CAMDEN,1,"0 Pounds"
"61 KULLER RD.",N/A,PASSAIC,1," Pounds"
"624 SCHUYLER AVE",N/A,BERGEN,2,"0 Pounds"
"624 SCHUYLER AVE",N/A,BERGEN,2," Pounds"
"62 WOOLSEY ST",N/A,ESSEX,1,"0 Pounds"
"641 DOWD AVE",N/A,UNION,1,"0 Pounds"
"651 TONNELE AVE.",N/A,HUDSON,1,"0 Pounds"
"652 DOREMUS AVE.",N/A,ESSEX,1,"0 Pounds"
"65 CHAMBERS ST.",N/A,ESSEX,1,"0 Pounds"
"65 EUCLID AVE",N/A,ESSEX,1,"0 Pounds"
"660 FRELINGHUYSEN AVE.",N/A,ESSEX,1,"0 Pounds"
"665 STATE HWY. 23",N/A,PASSAIC,1,"0 Pounds"
"665 WASHINGTON AVE.",N/A,BERGEN,2,"0 Pounds"
"681 LAWLINS RD, SUITE 10",N/A,BERGEN,1,"0 Pounds"
"681 LAWLINS RD, SUITE 10",N/A,BERGEN,1," Pounds"
"681 MAIN ST.",N/A,ESSEX,1," Pounds"
"68 69TH ST.",N/A,HUDSON,1,"0 Pounds"
"690 MONTROSE AVE.",N/A,MIDDLESEX,1,"0 Pounds"
"691 CENTRAL AVE",N/A,UNION,1,"0 Pounds"
"699 RTE. 46 E.",N/A,BERGEN,1,"0 Pounds"
"6 EASTMANS RD.",N/A,MORRIS,1,"0 Pounds"
"6 JEROME AVE.",N/A,BERGEN,1,"0 Pounds"
"700 BARTLEY-CHESTER RD",N/A,MORRIS,1,"0 Pounds"
"700 BLAIR RD.",N/A,MIDDLESEX,1,"0 Pounds"
"700 GOTHAM PKWY",N/A,BERGEN,1," Pounds"
"700 PARSIPPANY RD",N/A,MORRIS,1,"0 Pounds"
"700 UNION BLVD.",N/A,PASSAIC,1,"0 Pounds"
"701 12TH ST",N/A,BERGEN,1,"0 Pounds"
"70 OLD TURNPIKE RD.",N/A,PASSAIC,1,"0 Pounds"
"70 PASSAIC ST",N/A,BERGEN,1,"0 Pounds"
"70 WAIT ST.",N/A,PASSAIC,3,"0 Pounds"
"7101 TONNELLE AVE.",N/A,HUDSON,1,"0 Pounds"
"714-716 CLIFTON AVE.",N/A,PASSAIC,1,"0 Pounds"
"71 NEWARK WAY",N/A,ESSEX,1,"0 Pounds"
"726 ROCKEFELLER ST.",N/A,UNION,1,"0 Pounds"
"730 DIVISION ST",N/A,UNION,1,"0 Pounds"
"730 GRAND AVE",N/A,BERGEN,1,"0 Pounds"
"730 S 13TH ST",N/A,ESSEX,1,"0 Pounds"
"741/2 CHESTNUT ST.",N/A,PASSAIC,1," Pounds"
"746 GOTHAM PKWY",N/A,BERGEN,1,"0 Pounds"
"74 HUDSON AVE",N/A,BERGEN,1,"0 Pounds"
"750 UNION AVE",N/A,UNION,1,"0 Pounds"
"751 CLIFF RD",N/A,MIDDLESEX,1,"0 Pounds"
"757 PAGE AVE.",N/A,BERGEN,1,"0 Pounds"
"75 LONG BRANCH AVE",N/A,MONMOUTH,1,"0 Pounds"
"75 RT 130",N/A,GLOUCESTER,2,"0 Pounds"
"75 RT 130",N/A,GLOUCESTER,2," Pounds"
"75 TROY HILLS RD.",N/A,MORRIS,1,"0 Pounds"
"760 ROOSEVELT AVE",N/A,MIDDLESEX,2,"0 Pounds"
"760 ROOSEVELT AVE",N/A,MIDDLESEX,2,"12 Pounds"
"760 ROOSEVELT AVE",N/A,MIDDLESEX,2,"13 Pounds"
"760 ROOSEVELT AVE",N/A,MIDDLESEX,2,"3 Pounds"
"760 ROOSEVELT AVE",N/A,MIDDLESEX,2,"5 Pounds"
"76 E 24TH ST",N/A,PASSAIC,2,"0 Pounds"
"7700 RIVER RD.",N/A,HUDSON,1,"1 Pounds"
"77 MOONACHIE AVE.",N/A,BERGEN,1,"0 Pounds"
"77 N HILLSIDE RD",N/A,MORRIS,1,"0 Pounds"
"77 RIVER RD",N/A,PASSAIC,1,"0 Pounds"
"77 VANDERBURG RD.",N/A,MONMOUTH,1,"0 Pounds"
"787 E 27TH ST",N/A,PASSAIC,1,"0 Pounds"
"792 21ST AVE.",N/A,PASSAIC,1,"0 Pounds"
"792 21ST AVE.",N/A,PASSAIC,1," Pounds"
"7 GREAT MEADOW LN",N/A,MORRIS,1,"0 Pounds"
"800 BERGEN ST",N/A,HUDSON,1,"0 Pounds"
"800 FORD RD.",N/A,MORRIS,1,"0 Pounds"
"800 JEFFERSON AVE.",N/A,UNION,1,"0 Pounds"
"800 ROSE LN.",N/A,MONMOUTH,1,"0 Pounds"
"800 STATE HWY. #3",N/A,PASSAIC,1,"0 Pounds"
"80 WHEELER POINT RD.",N/A,ESSEX,1,"0 Pounds"
"8-10 22ND ST.",N/A,BERGEN,1,"0 Pounds"
"8-10 LISTER AVE.",N/A,ESSEX,1,"250 Pounds"
"814 ASBURY AVE",N/A,MONMOUTH,1,"0 Pounds"
"827 MARTIN ST",N/A,UNION,1,"0 Pounds"
"830 MAGNOLIA AVE.",N/A,UNION,1,"0 Pounds"
"849 BROADWAY",N/A,ESSEX,1,"0 Pounds"
"84 DAYTON AVE.",N/A,PASSAIC,1,"0 Pounds"
"84 LISTER AVE",N/A,ESSEX,1,"0 Pounds"
"84 LOCKWOOD ST",N/A,ESSEX,1,"0 Pounds"
"84 N HACKENSACK AVE",N/A,HUDSON,1,"0 Pounds"
"84 WAYDELL ST",N/A,ESSEX,1,"0 Pounds"
"84 WAYDELL ST.",N/A,ESSEX,1," Pounds"
"850 HAMILTON ST.",N/A,HUDSON,1,"0 Pounds"
"85 3TH ST",N/A,PASSAIC,1,"0 Pounds"
"85 5TH AVEUE BUILDING 5",N/A,PASSAIC,1," Pounds"
"85 HORSEHILL RD",N/A,MORRIS,1,"0 Pounds"
"85 LINCOLN HWY.",N/A,HUDSON,1,"0 Pounds"
"86 MORRIS AVE.",N/A,UNION,1,"0 Pounds"
"88 GROVE ST",N/A,PASSAIC,1," Pounds"
"89 YELLOWBROOK RD",N/A,MONMOUTH,1," Pounds"
"8 EMPIRE BLVD.",N/A,BERGEN,1,"0 Pounds"
"8 FERNWOD RD",N/A,MORRIS,1,"0 Pounds"
"8 HENDERSON DR",N/A,ESSEX,1,"0 Pounds"
"8 NORTH AVE. E.",N/A,UNION,2,"0 Pounds"
"901 LEHIGH AVE",N/A,UNION,1,"0 Pounds"
"909 DELANCY ST",N/A,ESSEX,2,"0 Pounds"
"909 DELANCY ST",N/A,ESSEX,2,"1 Pounds"
"909 DELANCY ST",N/A,ESSEX,2,"2 Pounds"
"909 DELANCY ST",N/A,ESSEX,2,"4 Pounds"
"909 DELANCY ST",N/A,ESSEX,2,"5 Pounds"
"90 COLES RD",N/A,CAMDEN,1,"0 Pounds"
"90 DAYTON AVE.",N/A,PASSAIC,1,"0 Pounds"
"90 MALTESE DR",N/A,PASSAIC,1,"0 Pounds"
"90 MALTESE DR",N/A,PASSAIC,1," Pounds"
"90 MYRTLE ST.",N/A,UNION,1,"0 Pounds"
"910 SYLVAN AVE",N/A,BERGEN,1,"0 Pounds"
"91 ILLINOIS AVE",N/A,PASSAIC,1,"0 Pounds"
"91 MICHIGAN AVE",N/A,PASSAIC,1,"0 Pounds"
"91 WALSH DR.",N/A,MORRIS,1,"0 Pounds"
"9252 KENNEDY BLVD.",N/A,HUDSON,1,"0 Pounds"
"92 NEWARK POMPTON TURNPIKE",N/A,PASSAIC,1,"0 Pounds"
"932 PATERSON PLANK RD.",N/A,BERGEN,1,"0 Pounds"
"936 HARRISON AVE",N/A,HUDSON,1,"0 Pounds"
"94 FANNY RD",N/A,MORRIS,1,"0 Pounds"
"9500 RAILROAD AVE.",N/A,HUDSON,1,"0 Pounds"
"950 RIVER DR.",N/A,BERGEN,1,"0 Grams"
"950 RIVER DR.",N/A,BERGEN,1,"0 Pounds"
"952 PALMER AVE",N/A,MONMOUTH,1,"0 Pounds"
"95 GREENWOOD AVE FACILITY",N/A,BERGEN,1,"0 Pounds"
"969 NEWARK TURNPIKE",N/A,HUDSON,1,"23 Pounds"
"970 RIVERVIEW DR.",N/A,PASSAIC,1,"0 Pounds"
"990 RIVERVIEW DR",N/A,PASSAIC,1,"0 Pounds"
"999 WILLOW GROVE ST",N/A,WARREN,1,"0 Pounds"
"9 AUDREY PL",N/A,ESSEX,1,"0 Pounds"
"9 ROY ST",N/A,MORRIS,2,"0 Pounds"
"9 ROY ST.",N/A,MORRIS,1,"0 Pounds"
"9 WHIPPANY RD.",N/A,MORRIS,1,"0 Pounds"
"ALPHANO RD.",N/A,WARREN,2,"0 Pounds"
"ALPHANO RD.",N/A,WARREN,2,"250 Pounds"
"ALPHANO RD.",N/A,WARREN,2,"2 Pounds"
"ARBOR ST.",N/A,MIDDLESEX,1,"0 Pounds"
"ATLANTIC AVE. & DELAWARE RIVER",N/A,GLOUCESTER,1,"0 Pounds"
"BERRY AVE. & RTE. 17 N.",N/A,BERGEN,2,"0 Pounds"
"BERRY AVE. & RTE. 17 N.",N/A,BERGEN,2,"13 Pounds"
"BEVERLY RD",N/A,BURLINGTON,2,"0 Pounds"
"BEVERLY RD",N/A,BURLINGTON,2,"5 Pounds"
"BLDG 350 COASTAL ST",N/A,ESSEX,2,"0 Pounds"
"BUILDING 116 FUEL FARM RD NEWARK INTERNATIONAL AIRPORT",N/A,ESSEX,2,"0 Pounds"
"CENTER ST.",N/A,MONMOUTH,1,"0 Pounds"
"CLIFFWOOD AVE.",N/A,MONMOUTH,1,"0 Pounds"
"CORNER OF PARK & BRUNSWICK AVENUES",N/A,UNION,3,".002 Pounds"
"CORNER OF PARK & BRUNSWICK AVENUES",N/A,UNION,3,"0 Pounds"
"CORNER OF PARK & BRUNSWICK AVENUES",N/A,UNION,3,"1 Pounds"
"CORNER OF PARK & BRUNSWICK AVENUES",N/A,UNION,3,"31 Pounds"
"CORNER OF PARK & BRUNSWICK AVENUES",N/A,UNION,3,"4189 Pounds"
"CORNER OF PARK & BRUNSWICK AVENUES",N/A,UNION,3,"48 Pounds"
"DAVIS & SHREEVE RDS.",N/A,CAMDEN,1,"0 Pounds"
"DEMAREST RD.",N/A,SUSSEX,2,"0 Pounds"
"DUFFIELD & VAN KEUREN AVE",N/A,HUDSON,3,"0 Pounds"
"DUFFIELD & VAN KEUREN AVE",N/A,HUDSON,3,"1000 Pounds"
"DUFFIELD & VAN KEUREN AVE",N/A,HUDSON,3,"169 Pounds"
"DUFFIELD & VAN KEUREN AVE",N/A,HUDSON,3,"4 Pounds"
"DUFFIELD & VAN KEUREN AVE",N/A,HUDSON,3,"885 Pounds"
"DULTY'S LN AT RT 130",N/A,BURLINGTON,1,"0 Pounds"
"END OF S. WOOD AVE.",N/A,UNION,1,"161 Pounds"
"FAIR LAWN AVE. & 3RD ST.",N/A,BERGEN,2,"0 Pounds"
"FOOT OF 13TH ST.",N/A,BERGEN,1,"0 Pounds"
"FOOT OF BROAD ST",N/A,MORRIS,1,"0 Pounds"
"FOOT OF CURIE AVE",N/A,BERGEN,1," Pounds"
"FOOT OF E 5TH ST",N/A,HUDSON,1,"0 Pounds"
"FOOT OF EMMET ST",N/A,ESSEX,2," Pounds"
"FOOT OF JERSEY AVE",N/A,HUDSON,1,"0 Pounds"
"FOOT OF SANFORD AVE.",N/A,HUDSON,1,"0 Pounds"
"FOOT OF S  WOOD AVE",N/A,UNION,2,"0 Pounds"
"FOOT OF S  WOOD AVE",N/A,UNION,2,"5 Pounds"
"FOOT OF S. WOOD AVE.",N/A,UNION,1,"0 Pounds"
"FOOT OF S. WOOD AVE.",N/A,UNION,1,"1100 Pounds"
"FOOT OF S. WOOD AVE.",N/A,UNION,1,"60 Pounds"
"FOOT OF WYCKOFF ROAD/, INDUSTRIAL RD.",N/A,MONMOUTH,1,"0 Pounds"
"HANOVER AVE & HORSEHILL RD",N/A,MORRIS,1,"0 Pounds"
"HEUBACH AVE",N/A,ESSEX,2,"0 Pounds"
"INDUSTRIAL AVE.",N/A,BERGEN,1,"0 Pounds"
"KENTILE RD.",N/A,MIDDLESEX,1,"0 Pounds"
"LINDEN AVE.",N/A,BERGEN,2,"0 Pounds"
"LINDEN AVE.",N/A,BERGEN,2," Pounds"
"MARIN AVE. & ORIENT WAY",N/A,BERGEN,1,"0 Pounds"
"MERRY LN.",N/A,MORRIS,1,"0 Pounds"
"MOUNT VERNON RD.",N/A,MONMOUTH,1,"0 Pounds"
