Address,"Clean Air Act","Fugair Amount",PBT,"Water Amount"
"10 KINGSLAND ST",Yes,".5 Pounds",NON_PBT,"0 Pounds"
"10 NORTH AVE. E.",Yes,"250 Pounds",NON_PBT,"0 Pounds"
"10 POMEROY RD",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"10 PRODUCTION WAY",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"10 ROBERT ST",No,"0 Pounds",NON_PBT,"0 Pounds"
"10 ROBERT ST",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"10 RUCKLE AVE.",Yes,"8 Pounds",NON_PBT,"0 Pounds"
"10 RUCKLE AVE.",Yes,"9 Pounds",NON_PBT,"0 Pounds"
"10 THOMAS RD",No,"0 Pounds",NON_PBT,"0 Pounds"
"10 THOMAS RD",No,"5 Pounds",NON_PBT,"0 Pounds"
"1101 E PEARL ST",No,"3694 Pounds",NON_PBT,"0 Pounds"
"1106 HARRISON AVE",No," Pounds",NON_PBT," Pounds"
"110 E. 27TH ST.",No,"0 Pounds",NON_PBT," Pounds"
"110 E. CUSHMAN AVE.",No,"5752 Pounds",NON_PBT,"0 Pounds"
"110 E. CUSHMAN AVE.",Yes,"7451 Pounds",NON_PBT,"0 Pounds"
"110 POMPONIO AVE",No,"5 Pounds",NON_PBT,"0 Pounds"
"110 S. NEWMAN ST.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"110 WOODCREST RD",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"1110 CORNELL AVE.",No,"0 Pounds",NON_PBT,"0 Pounds"
"1110 SPRINGFIELD RD.",No,"0 Pounds",NON_PBT," Pounds"
"1110 SPRINGFIELD RD.",Yes,"0 Pounds",NON_PBT," Pounds"
"1110 SPRINGFIELD RD.",Yes,"24100 Pounds",NON_PBT,"28 Pounds"
"111 LEHIGH DR.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"111 SPRING ST.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"111 S ST",No,"30 Pounds",NON_PBT,"0 Pounds"
"111 S ST",No,"5 Pounds",NON_PBT,"0 Pounds"
"1125 HUDSON ST.",No,"0 Pounds",NON_PBT,"0 Pounds"
"1125 PLEASANTVIEW TERRACE",Yes,"1 Pounds",NON_PBT,"0 Pounds"
"112 PINE ST",No,"0 Pounds",NON_PBT,"0 Pounds"
"1132 CLINTON ST.",No,"250 Pounds",NON_PBT," Pounds"
"1132 CLINTON ST.",Yes,"0 Pounds",NON_PBT," Pounds"
"1132 CLINTON ST.",Yes,"250 Pounds",NON_PBT," Pounds"
"1137 GLOBE AVE.",No,"2600 Pounds",NON_PBT,"0 Pounds"
"113 PASSAIC AVE",No,"0 Pounds",NON_PBT,"0 Pounds"
"113 PASSAIC AVE",No,"0 Pounds",NON_PBT,".547 Pounds"
"113 PASSAIC AVE",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"113 PASSAIC AVE",Yes,"0 Pounds",NON_PBT,".16 Pounds"
"1145 EDGEWATER AVE",No,"0 Pounds",NON_PBT,"0 Pounds"
"114 IRON MOUNTAIN RD.",No,"1 Pounds",NON_PBT,"0 Pounds"
"114 IRON MOUNTAIN RD.",Yes,"12 Pounds",NON_PBT,"0 Pounds"
"114 IRON MOUNTAIN RD.",Yes,"55 Pounds",NON_PBT,"0 Pounds"
"1150 MCBRIDE AVE.",No,"1500 Pounds",NON_PBT,"0 Pounds"
"115-117 MOONACHIE AVE.",No,"10900 Pounds",NON_PBT,"0 Pounds"
"115-117 MOONACHIE AVE.",No,"8200 Pounds",NON_PBT,"0 Pounds"
"115-117 MOONACHIE AVE.",Yes,"100 Pounds",NON_PBT,"0 Pounds"
"115-117 MOONACHIE AVE.",Yes,"1500 Pounds",NON_PBT,"0 Pounds"
"115-117 MOONACHIE AVE.",Yes,"210 Pounds",NON_PBT,"0 Pounds"
"1155 BLOOMFIELD AVE.",Yes,"6523 Pounds",NON_PBT,"0 Pounds"
"115 CHESTNUT ST.",No,"2600 Pounds",NON_PBT,"250 Pounds"
"115 CHESTNUT ST.",Yes,"2500 Pounds",NON_PBT,"250 Pounds"
"115 CHESTNUT ST.",Yes,"5400 Pounds",NON_PBT,"0 Pounds"
"115 E. CENTRE ST.",No,"0 Pounds",NON_PBT,"0 Pounds"
"115 SKYLINE DR.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"116 SUMMIT AVE",Yes,"40 Pounds",NON_PBT,"0 Pounds"
"1170 VALLEYBROOK AVE.",No,"0 Pounds",NON_PBT,"0 Pounds"
"117 BLANCHARD ST.",No,"0 Pounds",NON_PBT,"0 Pounds"
"117 BLANCHARD ST.",Yes,"10 Pounds",NON_PBT," Pounds"
"117 BLANCHARD ST.",Yes,"1 Pounds",NON_PBT,"0 Pounds"
"117 BLANCHARD ST.",Yes,".5 Pounds",NON_PBT,"0 Pounds"
"117 CUMBERLAND BLVD",No,"0 Pounds",NON_PBT,"0 Pounds"
"117 HARRISON AVE",No," Pounds",NON_PBT," Pounds"
"117 MOONACHIE AVE",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"118 HWY. 35",No,"12220 Pounds",NON_PBT,"0 Pounds"
"118 VICTORY AVE",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"11 FOUNDRY ST",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"11 FOUNDRY ST",Yes,"46 Pounds",NON_PBT,"0 Pounds"
"11 FOUNDRY ST",Yes,"538 Pounds",NON_PBT,"448 Pounds"
"11 FOUNDRY ST",Yes,"97 Pounds",NON_PBT,"0 Pounds"
"11 GREGG ST",No,"15000 Pounds",NON_PBT,"0 Pounds"
"11 JACKSON RD.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"11 MADISON RD",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"11 WILLIAM ST.",Yes,"2000 Pounds",NON_PBT,"0 Pounds"
"1200 W. BLANCKE ST.",No,"0 Pounds",NON_PBT,"0 Pounds"
"1200 W. BLANCKE ST.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"1201 BOWMAN AVE",No," Pounds",NON_PBT," Pounds"
"1201 BOWMAN AVE",Yes," Pounds",NON_PBT," Pounds"
"1201 W. BLANKE ST.",No,"200 Pounds",NON_PBT,"0 Pounds"
"1201 W. BLANKE ST.",Yes,"1030 Pounds",NON_PBT,"0 Pounds"
"1201 W. BLANKE ST.",Yes,"140 Pounds",NON_PBT,"0 Pounds"
"120 DUFFIELD AVE",No,"3 Pounds",NON_PBT,"0 Pounds"
"120 DUFFIELD AVE",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"120 INDUSTRIAL AVE",Yes,"250 Pounds",NON_PBT,"0 Pounds"
"120 LISTER AVE.",Yes,"5 Pounds",NON_PBT,"0 Pounds"
"120 LISTER AVE.",Yes,"5 Pounds",NON_PBT," Pounds"
"1215 HARRISON AVE.",No,"0 Pounds",NON_PBT,"0 Pounds"
"121 HWY 35",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"121 TYLER ST.",Yes,"1482 Pounds",NON_PBT,"0 Pounds"
"121 TYLER ST.",Yes,"250 Pounds",NON_PBT,"0 Pounds"
"121 TYLER ST.",Yes,"750 Pounds",NON_PBT,"0 Pounds"
"1225 MCBRIDE AVE.",No,"3190 Pounds",NON_PBT,"0 Pounds"
"1227 CENTRAL AVE",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"1227 CENTRAL AVE",Yes,"5 Pounds",NON_PBT,"0 Pounds"
"123 N 8TH ST",Yes,"600 Pounds",NON_PBT,"0 Pounds"
"1249 NEWARK TURNPIKE",No,"1 Pounds",NON_PBT,"0 Pounds"
"1249 NEWARK TURNPIKE",No,"2 Pounds",NON_PBT,"0 Pounds"
"1249 NEWARK TURNPIKE",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"124 CASE DR",Yes," Pounds",NON_PBT," Pounds"
"1253 NEW MARKET AVE",Yes," Pounds",NON_PBT," Pounds"
"1255 RARITAN RD",Yes,".0002 Pounds",NON_PBT,"0 Pounds"
"1255 RARITAN RD",Yes,".01 Pounds",NON_PBT,"0 Pounds"
"125 BERGENLINE AVE.",No,"1066 Pounds",NON_PBT,"0 Pounds"
"125 BERGENLINE AVE.",No,"535 Pounds",NON_PBT,"0 Pounds"
"125 BERGENLINE AVE.",Yes,"1344 Pounds",NON_PBT,"0 Pounds"
"125 CLARK ST.",Yes,"250 Pounds",NON_PBT,"0 Pounds"
"125 CLIFTON BLVD",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"125 HAMBURG TURNPIKE",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"125 HAMBURG TURNPIKE",Yes,".1 Pounds",NON_PBT,"0 Pounds"
"125 MAIN AVENUE",Yes," Pounds",NON_PBT," Pounds"
"125 NEW DUTCH LN",No,"0 Pounds",NON_PBT,"0 Pounds"
"125 NEW DUTCH LN",No," Pounds",NON_PBT," Pounds"
"125 NEW DUTCH LN",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"125 THEODORE CONRAD DR.",Yes,"1 Pounds",NON_PBT,"0 Pounds"
"126 PASSAIC ST",No," Pounds",NON_PBT," Pounds"
"126 PASSAIC ST",Yes," Pounds",NON_PBT," Pounds"
"129 COOLIDGE AVE",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"129 DERMODY ST",Yes,"2067 Pounds",NON_PBT,"0 Pounds"
"129 LOCKWOOD ST",No,"0 Pounds",NON_PBT,"0 Pounds"
"129 LOCKWOOD ST",Yes,"0 Pounds",NON_PBT," Pounds"
"12 AMSTERDAM ST",Yes,"7298 Pounds",NON_PBT,"0 Pounds"
"12 CLIFFSIDE DR.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"12 CORK HILL RD.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"12 HOLLAND AVE",Yes," Pounds",NON_PBT," Pounds"
"12 INDUSTRIAL PARK",Yes,"2000 Pounds",NON_PBT,"0 Pounds"
"12 INDUSTRIAL PARK",Yes," Pounds",NON_PBT," Pounds"
"12 RIVER RD",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"12 TIMBER LN.",No,"0 Pounds",NON_PBT,"0 Pounds"
"12 TIMBER LN.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"1300 RARITAN RD.",No,"0 Pounds",NON_PBT,"0 Pounds"
"1300 RARITAN RD.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"1301 JEFFERSON ST",Yes,"500 Pounds",NON_PBT,"0 Pounds"
"1301 JEFFERSON ST",Yes," Pounds",NON_PBT," Pounds"
"1301 S. PARK AVE.",Yes,"40 Pounds",NON_PBT,"0 Pounds"
"130 ESSEX AVE E",Yes,"5 Pounds",NON_PBT,"5 Pounds"
"131 MARSH ST",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"134 SAND PARK RD.",No,"0 Pounds",NON_PBT,"0 Pounds"
"1355 W. FRONT ST.",Yes,"10918 Pounds",NON_PBT,"0 Pounds"
"1355 W. FRONT ST.",Yes,"13504 Pounds",NON_PBT,"0 Pounds"
"135 HAYNES AVE.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"1375 E LINDEN AVE",No,"0 Pounds",NON_PBT,"0 Pounds"
"1384 POMPTON AVE.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"139 HAYNES AVE",No,"5 Pounds",NON_PBT,"0 Pounds"
"139 HAYNES AVE",Yes,".1 Pounds",NON_PBT,"0 Pounds"
