Address,"Clean Air Act","Fugair Amount",PBT,"Water Amount"
"185 FOUNDRY ST",Yes,"397 Pounds",NON_PBT,"0 Pounds"
"185 SCOLES AVE.",Yes,"43 Pounds",NON_PBT,"0 Pounds"
"1865 RT 23 S",No,"0 Pounds",NON_PBT,"0 Pounds"
"188 MARKET ST.",No,"5 Pounds",NON_PBT,"0 Pounds"
"18 MALVERN ST.",Yes,"11023 Pounds",NON_PBT,"0 Pounds"
"18 MALVERN ST.",Yes,"22300 Pounds",NON_PBT,"0 Pounds"
"18TH ST & WASHINGTON BLVD",No,"0 Pounds",NON_PBT,"0 Pounds"
"190 JONY DR.",Yes,"250 Pounds",NON_PBT,"0 Pounds"
"191 E HANOVER AVE",Yes,"5 Pounds",NON_PBT,"0 Pounds"
"191 E HANOVER AVE",Yes,"6 Pounds",NON_PBT,"0 Pounds"
"191 E RAILWAY AVE",Yes," Pounds",NON_PBT," Pounds"
"192 BLOOMFIELD AVE",No,"10 Pounds",NON_PBT,"0 Pounds"
"192 COIT ST",No,"250 Pounds",NON_PBT,"0 Pounds"
"192 COIT ST",No," Pounds",NON_PBT," Pounds"
"192 PUTNAM ST",No,"0 Pounds",NON_PBT,"0 Pounds"
"1930 OLNEY AVE",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"19-37 DELAWARE AVE",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"1940 PASSAIC ST.",No,"0 Pounds",NON_PBT,"250 Pounds"
"1940 PASSAIC ST.",No,"250 Pounds",NON_PBT,"0 Pounds"
"1940 PASSAIC ST.",Yes,"250 Pounds",NON_PBT,"0 Pounds"
"1940 PASSAIC ST.",Yes,"750 Pounds",NON_PBT,"0 Pounds"
"19-47 AMES BLVD",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"195 N  ST",Yes," Pounds",NON_PBT," Pounds"
"195 RIVER ST.",Yes,"900 Pounds",NON_PBT,"0 Pounds"
"196 COIT ST.",Yes,"9400 Pounds",NON_PBT,"0 Pounds"
"196 WEST 5TH ST.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"199 GARIBALDI AVE.",No,"5 Pounds",NON_PBT,"0 Pounds"
"199 MAIN ST.",Yes,"1 Pounds",NON_PBT,"0 Pounds"
"199 MAIN ST.",Yes,"2267 Pounds",NON_PBT,"0 Pounds"
"199 W. CLAY AVE.",No,"250 Pounds",NON_PBT,"0 Pounds"
"19 E. 5TH ST.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"19 INDUSTRIAL AVE.",No,"0 Pounds",NON_PBT,"0 Pounds"
"19 INDUSTRIAL AVE.",Yes,"5060 Pounds",NON_PBT,"0 Pounds"
"19 WESLEY ST",Yes,"10972 Pounds",NON_PBT,"0 Pounds"
"19 WESLEY ST",Yes,"11592 Pounds",NON_PBT,"0 Pounds"
"19 WESLEY ST",Yes,"14599 Pounds",NON_PBT,"0 Pounds"
"1 AMBOY AVE.",No,"13000 Pounds",NON_PBT,"0 Pounds"
"1 AVE J",No," Pounds",NON_PBT," Pounds"
"1 CHAPIN RD.",No,"0 Pounds",NON_PBT,"0 Pounds"
"1 COLDSTREAM WAY",No,"0 Pounds",NON_PBT,"0 Pounds"
"1 COLOUR PL",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"1 E 11TH ST",No,"5 Pounds",NON_PBT,"0 Pounds"
"1 ESNA DR",No,"2 Pounds",NON_PBT,"0 Pounds"
"1 ESNA DR",Yes,"6 Pounds",NON_PBT,"0 Pounds"
"1 HICKS AVE",Yes,"1686 Pounds",NON_PBT,"0 Pounds"
"1 INDUSTRIAL W",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"1 JABEZ ST.",Yes,"250 Pounds",NON_PBT,"0 Pounds"
"1 MARKET ST",Yes,"0 Grams",NON_PBT,"0 Grams"
"1 MARKET ST",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"1 MARKET ST.",Yes," Pounds",NON_PBT," Pounds"
"1 N CORPORATE DR",No,"0 Pounds",NON_PBT,"0 Pounds"
"1 N CORPORATE DR",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"1 RARITAN RD",Yes," Pounds",NON_PBT," Pounds"
"1 RIVER RD.",Yes,"250 Pounds",NON_PBT,"0 Pounds"
"1 RIVER RD.",Yes,"7423 Pounds",NON_PBT,"0 Pounds"
"1 SHERIDAN AVE.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"1 SLATER DR.",No,"0 Pounds",NON_PBT,"0 Pounds"
"1 STANLEY ST",No,"8751 Pounds",NON_PBT,"0 Pounds"
"1 STANLEY ST",Yes,"9257 Pounds",NON_PBT,"0 Pounds"
"1 TENAKILL PARK",No,"0 Pounds",NON_PBT,"0 Pounds"
"1 TENAKILL PARK",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"1 TRIANGLE LN",No,"0 Pounds",NON_PBT,"0 Pounds"
"1 VIRGINIA STREET",No," Pounds",NON_PBT," Pounds"
"1 W CENTRAL AVE",No,"0 Pounds",NON_PBT,"0 Pounds"
"1 W CENTRAL AVE",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"1 WOOD HOLLOW RD",No,"0 Pounds",NON_PBT," Pounds"
"2000 CANNONBALL RD.",No,"0 Pounds",NON_PBT,"178 Pounds"
"2000 GALLOPING HILL RD",No,"2747 Pounds",NON_PBT,"0 Pounds"
"2000 GALLOPING HILL RD",No,"623 Pounds",NON_PBT,"0 Pounds"
"2000 MARSHES DOCK RD",Yes,".16 Pounds",NON_PBT,"0 Pounds"
"200-222 TERMINAL AVE",No,"0 Pounds",NON_PBT,"0 Pounds"
"200-222 TERMINAL AVE",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"200 E. HANOVER AVE.",Yes,"0 Pounds",NON_PBT,"5 Pounds"
"200 GREGG ST.",No,"0 Pounds",NON_PBT,"0 Pounds"
"200 GREGG ST.",Yes,"1200 Pounds",NON_PBT,"0 Pounds"
"200 GREGG ST.",Yes,"22000 Pounds",NON_PBT,"0 Pounds"
"200 INDUSTRIAL AVE",Yes,"1 Pounds",NON_PBT,"0 Pounds"
"200 INDUSTRIAL AVE",Yes,"4 Pounds",NON_PBT,"0 Pounds"
"200 KEEN ST.",No,"0 Pounds",NON_PBT,"0 Pounds"
"200 KELLOGG ST",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"200 PULASKI ST.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"200 PULASKI ST.",Yes,"250 Pounds",NON_PBT,"0 Pounds"
"200 S. 1ST ST.",No," Pounds",NON_PBT," Pounds"
"200 S. 1ST ST.",Yes," Pounds",NON_PBT," Pounds"
"200 S. AVE.",No,"0 Pounds",NON_PBT,"0 Pounds"
"200 SHERIDAN AVE.",No,"250 Pounds",NON_PBT,"0 Pounds"
"200 THEODORE CONRAD DR.",No,"0 Pounds",NON_PBT,"0 Pounds"
"200 WAGARAW RD",Yes,"250 Pounds",NON_PBT,"0 Pounds"
"200 W.COMMERCIAL AVE.",No,"0 Pounds",NON_PBT,"0 Pounds"
"20-10 MAPLE AVE.",Yes,"12700 Pounds",NON_PBT,"0 Pounds"
"2013 MCCARTER HWY",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"201 HWY 34 BLDG C-2",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"201 ROOSEVELT PL.",Yes,"250 Pounds",NON_PBT,"0 Pounds"
"201 S 31ST ST",No,"5 Pounds",NON_PBT,"0 Pounds"
"20-21 WAGARAW RD",No," Pounds",NON_PBT," Pounds"
"20-21 WAGARAW RD.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"2025 E. LINDEN AVE.",No,"213 Pounds",NON_PBT," Pounds"
"2025 E. LINDEN AVE.",No,"71 Pounds",NON_PBT," Pounds"
"2025 E. LINDEN AVE.",Yes,"351 Pounds",NON_PBT,"0 Pounds"
"205 MACKS ISLAND DR",No,"0 Pounds",NON_PBT,"66 Pounds"
"205 MACKS ISLAND DR",No,"0 Pounds",NON_PBT,"950 Pounds"
"205 MACKS ISLAND DR",No,"0 Pounds",NON_PBT,"98444 Pounds"
"205 MAIN ST.",No," Pounds",NON_PBT," Pounds"
"205 MAIN ST.",Yes,"250 Pounds",NON_PBT,"0 Pounds"
"205 MAYWOOD AVE",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"207 19TH AVE",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"207-215 AVE L",No,"0 Pounds",NON_PBT,"0 Pounds"
"209 N MICHIGAN AVE",Yes,"210 Pounds",NON_PBT,"0 Pounds"
"209 N MICHIGAN AVE",Yes,"240 Pounds",NON_PBT,"0 Pounds"
"209 N MICHIGAN AVE",Yes,"30 Pounds",NON_PBT,"0 Pounds"
"209 N MICHIGAN AVE",Yes,"9 Pounds",NON_PBT,"0 Pounds"
"20 BORIGHT AVE",Yes,"900 Pounds",NON_PBT,"0 Pounds"
"20 CAMPUS RD",Yes,"5 Pounds",NON_PBT,"0 Pounds"
"20 CARBON PL.",Yes,"250 Pounds",NON_PBT,"0 Pounds"
"20 CRISPIN RD",Yes,"1.9 Pounds",NON_PBT,"0 Pounds"
"20 DEFOREST AVE.",No,"0 Pounds",NON_PBT,"0 Pounds"
"20 EMPIRE BLVD",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"20 META LN.",No,"2919 Pounds",NON_PBT,"0 Pounds"
"20 META LN.",Yes,"250 Pounds",NON_PBT,"0 Pounds"
"20 NEW DUTCH LN",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"20 SAND PARK RD.",No,"3563 Pounds",NON_PBT,"0 Pounds"
"20 SAND PARK RD.",Yes,"1618 Pounds",NON_PBT,"0 Pounds"
"20TH & BROAD ST",Yes,"1 Pounds",NON_PBT,"0 Pounds"
"20TH & BROAD ST",Yes,"55 Pounds",NON_PBT,"0 Pounds"
"210 CLIFTON BLVD",Yes,"250 Pounds",NON_PBT,"0 Pounds"
"210 DELAWANNA AVE",No," Pounds",NON_PBT," Pounds"
"210 DELAWANNA AVE",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"210 DELAWANNA AVE",Yes," Pounds",NON_PBT," Pounds"
"210 GARIBALDI AVE",Yes," Pounds",NON_PBT," Pounds"
"2115 HIGH HILL RD",No," Pounds",NON_PBT," Pounds"
"2115 HIGH HILL RD",Yes," Pounds",NON_PBT," Pounds"
"211 MOUNT PROSPECT AVE.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"2120 LAMBERTS MILL RD",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"2121 WHITESVILLE RD",No,"0 Pounds",NON_PBT,"0 Pounds"
"21-29 INDUSTRIAL PARK",Yes," Pounds",NON_PBT," Pounds"
"2133 85TH ST",No,"0 Pounds",NON_PBT,"0 Pounds"
"2145 MCCARTER HWY.",No," Pounds",NON_PBT," Pounds"
"214 KINGS HWY",No,"5 Pounds",NON_PBT,"0 Pounds"
"214 KINGS HWY",Yes,"5 Pounds",NON_PBT,"0 Pounds"
"214 S. NEWMAN ST.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"2150 STANLEY TERRACE",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"215 MERRY LN",No,"0 Pounds",NON_PBT,"0 Pounds"
"215 MERRY LN",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"215 S. NEWMAN ST.",Yes,"16200 Pounds",NON_PBT,"750 Pounds"
"216 MIDLAND AVE.",No,"30 Pounds",NON_PBT,"0 Pounds"
"216 MIDLAND AVE.",Yes,"35 Pounds",NON_PBT,"0 Pounds"
"217 BROOK AVE.",No,"380 Pounds",NON_PBT,"0 Pounds"
"219-223 STIRLING RD.",Yes,"250 Pounds",NON_PBT,"0 Pounds"
"2195 ELIZABETH AVE.",Yes,"2200 Pounds",NON_PBT,"0 Pounds"
"2199 STANLEY TERRACE",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"219 MURRAY HILL PKY.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"21 CAMPUS RD.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"21 COTLUSS RD.",No,"250 Pounds",NON_PBT,"0 Pounds"
"21 COTLUSS RD.",Yes,"250 Pounds",NON_PBT,"0 Pounds"
"21 HARRISON AVE",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"21 HENDERSON DR",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"21 INDUSTRIAL DR.",Yes,"5 Pounds",NON_PBT,"0 Pounds"
"21 WALLACE ST.",No,"0 Pounds",NON_PBT,"0 Pounds"
"21 WALLACE ST.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"220 PEGASUS AVE",Yes," Pounds",NON_PBT," Pounds"
"22-11 RT 208",No,"0 Pounds",NON_PBT,"0 Pounds"
"222 BRIDGE PLAZA S.",Yes," Pounds",NON_PBT," Pounds"
"223 W.SIDE AVE.",No,"250 Pounds",NON_PBT,"0 Pounds"
"225 BELLEVILLE AVE.",No,"5 Pounds",NON_PBT,"0 Pounds"
"225 BELLEVILLE AVE.",Yes,"5 Pounds",NON_PBT,"0 Pounds"
"225 CEDAR KNOLLS RD",No,"0 Pounds",NON_PBT,"0 Pounds"
"225 PASSAIC ST",Yes,"250 Pounds",NON_PBT,"0 Pounds"
"225 THROCKMORTON ST",No,"0 Pounds",NON_PBT,"0 Pounds"
"225 THROCKMORTON ST",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"225 WILLOWBROOK RD",Yes,"3500 Pounds",NON_PBT,"0 Pounds"
"225 WILLOWBROOK RD",Yes,"920 Pounds",NON_PBT,"0 Pounds"
"22 COLUMBUS RD",No,"1800 Pounds",NON_PBT,"0 Pounds"
"22 DANIEL RD E",Yes,"11400 Pounds",NON_PBT,"0 Pounds"
"22 PARK PL",No,"0 Pounds",NON_PBT,"0 Pounds"
"22 SOUTH AVE",No,"0 Pounds",NON_PBT,"0 Pounds"
"22 SOUTH AVE",No,"5 Pounds",NON_PBT,"0 Pounds"
"22 SOUTH AVE",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"22 SOUTH AVE",Yes,"2838 Pounds",NON_PBT,"0 Pounds"
"22 SPRING VALLEY RD.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"230 CULVER AVE",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"230 KEARNEY AVE",Yes,"250 Pounds",NON_PBT,"0 Pounds"
"2330 VAUXHALL RD.",Yes,"27820 Pounds",NON_PBT,"0 Pounds"
"233 CLIFTON BLVD",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"235 E ELEVENTH AVE",No,"0 Pounds",NON_PBT,"0 Pounds"
"235 E ELEVENTH AVE",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"235 MURRAY HILL PKY.",No," Pounds",NON_PBT," Pounds"
"235 MURRAY HILL PKY.",Yes," Pounds",NON_PBT," Pounds"
"235 SNYDER AVE",Yes,"37 Pounds",NON_PBT,"0 Pounds"
"2365 RT.22 W. & RAHWAY VALLEY VALLEY RR",No,"0 Pounds",NON_PBT,"0 Pounds"
"2389 VAUXHALL RD",No,"3 Pounds",NON_PBT,"0 Pounds"
"238 W FORT LEE RD",No," Pounds",NON_PBT," Pounds"
"238 W FORT LEE RD",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"238 W FORT LEE RD",Yes," Pounds",NON_PBT," Pounds"
"239 SAINT NICHOLAS AVE",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"2400 VAUXHALL RD.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"240 MULBERRY ST.",Yes,"250 Pounds",NON_PBT,"0 Pounds"
"244 HAZEL ST.",Yes,"250 Pounds",NON_PBT,"0 Pounds"
"245 MERRY LN",Yes,"105 Pounds",NON_PBT,"0 Pounds"
"245 MERRY LN",Yes,"85 Pounds",NON_PBT,"0 Pounds"
"245 WESCOTT DR.",No,"5 Pounds",NON_PBT,"0 Pounds"
"2495 S. CLINTON AVE.",No,"0 Pounds",NON_PBT,"0 Pounds"
"24 AMES BLVD",Yes,"14400 Pounds",NON_PBT,"0 Pounds"
"24 BELLEVILLE AVE",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"24  FEDERAL  PLAZA",Yes," Pounds",NON_PBT," Pounds"
"24 JACOBUS AVE.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"24 MADISON RD.",No,"0 Pounds",NON_PBT,"0 Pounds"
"24 PARK AVE.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"24 SHERWOOD LN.",No,"250 Pounds",NON_PBT,"0 Pounds"
"2500 BRUNSWICK AVE",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"250 E. 22ND ST.",No,"0 Pounds",NON_PBT,"0 Pounds"
"250 E. 22ND ST.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"250 E. 22ND ST.",Yes,"12 Pounds",NON_PBT,"0 Pounds"
"250 HALLS MILL RD",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"250 HALLS MILL RD",Yes,"3 Pounds",NON_PBT,"0 Pounds"
"250 HAMBURG TURNPIKE",Yes,"14256 Pounds",NON_PBT,"0 Pounds"
"251 UNION ST",No," Pounds",NON_PBT," Pounds"
"2530 POLK ST",No,"0 Pounds",NON_PBT,"0 Pounds"
"2530 POLK ST",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"2530 POLK ST",Yes,"0 Pounds",NON_PBT," Pounds"
"2530 POLK ST",Yes,"250 Pounds",NON_PBT,"0 Pounds"
"255 BLAIR RD",No,"25 Pounds",NON_PBT,"0 Pounds"
"255 BLAIR RD",No," Pounds",NON_PBT," Pounds"
"255 BLAIR RD",Yes,"7 Pounds",NON_PBT,"0 Pounds"
"25 ARROW RD.",Yes,"16094 Pounds",NON_PBT,"0 Pounds"
"25 BRIGHTON AVE.",Yes,"2327 Pounds",NON_PBT,"0 Pounds"
"25 BROOK AVE",No,"0 Pounds",NON_PBT,"0 Pounds"
"25 CHOBOT LN.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"25 IRONIA RD",No,"250 Pounds",NON_PBT,"0 Pounds"
"25 MADISON RD.",Yes,"1900 Pounds",NON_PBT,"0 Pounds"
"25 MAIN ST.",No,"0 Pounds",NON_PBT,"0 Pounds"
"25 MCWHORTER ST",Yes,"0 Pounds",NON_PBT,"250 Pounds"
"25 POWER AVE",No,"0 Pounds",NON_PBT,"0 Pounds"
"25 RIVERSIDE DR.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"25 RIZZOLO RD.",No," Pounds",NON_PBT," Pounds"
"2601 RIDGEWOOD RD.",No,"5 Pounds",NON_PBT,"0 Pounds"
"260 RAILROAD AVE",No," Pounds",NON_PBT," Pounds"
"260 RAILROAD AVE",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"2614 S. CLINTON AVE.",No,"0 Pounds",NON_PBT,"0 Pounds"
"265-77 BADGER AVE",Yes,"250 Pounds",NON_PBT,"0 Pounds"
"265C BROADWAY",No," Pounds",NON_PBT," Pounds"
"265 LIVINGSTON ST",No,"0 Pounds",NON_PBT,"0 Pounds"
"267 HOMESTEAD AVE",Yes," Pounds",NON_PBT," Pounds"
"267 UNION ST",Yes,"9 Pounds",NON_PBT,"0 Pounds"
"26 BLANCHARD ST",No,"0 Pounds",NON_PBT,"0 Pounds"
"26 BLANCHARD ST",No,"5 Pounds",NON_PBT,"0 Pounds"
"26 BLANCHARD ST",Yes,"250 Pounds",NON_PBT,"0 Pounds"
"26 HANES DR",Yes," Pounds",NON_PBT," Pounds"
"26 JEFFERSON ST.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"26 PIERCY ST",No," Pounds",NON_PBT," Pounds"
"270 CLIFTON BLVD",No,"250 Pounds",NON_PBT,"0 Pounds"
"270 CLIFTON BLVD",Yes,"250 Pounds",NON_PBT,"0 Pounds"
"270 PASSAIC AVE.",Yes,"13200 Pounds",NON_PBT,"0 Pounds"
"271 MAYHILL ST",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"27 1ST ST.",Yes,"250 Pounds",NON_PBT,"0 Pounds"
"273 BRANCHPORT AVE",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"274 SOUTH ST.",Yes," Pounds",NON_PBT," Pounds"
"275 CLARK ST",Yes," Pounds",NON_PBT," Pounds"
"277 FAIRFIELD RD.",No,"250 Pounds",NON_PBT,"0 Pounds"
"277 FAIRFIELD RD.",Yes,"250 Pounds",NON_PBT,"0 Pounds"
"27 E. 33RD ST.",No,"330 Pounds",NON_PBT,"0 Pounds"
"27 E. 33RD ST.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"27 E. 33RD ST.",Yes,"160 Pounds",NON_PBT,"0 Pounds"
"27 E. 33 ST.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"27 EIGHTH ST.",No,"250 Pounds",NON_PBT,"0 Pounds"
"27 EIGHTH ST.",Yes,"250 Pounds",NON_PBT,"0 Pounds"
"27 EIGHTH ST.",Yes,"750 Pounds",NON_PBT,"0 Pounds"
"27 HAYNES AVE.",Yes,"250 Pounds",NON_PBT,"0 Pounds"
"27 KENTUCKY AVE.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"280 CHESTNUT ST.",Yes,"2239 Pounds",NON_PBT,"0 Pounds"
"280 MIDLAND AVE",No,"0 Pounds",NON_PBT,"0 Pounds"
"280 MIDLAND AVE",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"280 MIDLAND AVE.",No,"0 Pounds",NON_PBT,"0 Pounds"
"280 MIDLAND AVE.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"28-36 PATERSON ST",No," Pounds",NON_PBT," Pounds"
"28-36 PATERSON ST",Yes," Pounds",NON_PBT," Pounds"
"285 EMMET ST.",Yes,"250 Pounds",NON_PBT,"0 Pounds"
"285 EMMET ST.",Yes,"5 Pounds",NON_PBT,"0 Pounds"
"28 HARRISON AVE SUITE 238",No,"25 Pounds",NON_PBT,"0 Pounds"
"28 RYLE AVE",No,"750 Pounds",NON_PBT,"0 Pounds"
"2901 HAMILTON BLVD",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"290 RIVER DR.",No,"0 Pounds",NON_PBT,"0 Pounds"
"290 RIVER DR.",Yes,"250 Pounds",NON_PBT,"0 Pounds"
"290 RIVER DR.",Yes,"4088 Pounds",NON_PBT,"0 Pounds"
"290 RIVER DR.",Yes,"485 Pounds",NON_PBT,"0 Pounds"
"293 MORRISSEE AVE",No,"0 Pounds",NON_PBT,"0 Pounds"
"293 MORRISSEE AVE",No,"4358 Pounds",NON_PBT,"0 Pounds"
"29-75 RIVERSIDE AVE",No," Pounds",NON_PBT," Pounds"
"297 FERRY ST",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"299 PACIFIC ST",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"299 WEBRO RD",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"29 HANOVER RD",No,"0 Pounds",NON_PBT,"0 Pounds"
"29 HANOVER RD",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"29 PORETE AVE",No,"0 Pounds",NON_PBT,"0 Pounds"
"2 ACKERMAN RD",Yes,"30 Pounds",NON_PBT,"0 Pounds"
"2 ACKERMAN RD",Yes,"375 Pounds",NON_PBT,"0 Pounds"
"2 AMBOY AVE",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"2 BRIDEWELL PL.",Yes,"250 Pounds",NON_PBT,"0 Pounds"
"2 CARLTON AVENUE",Yes,"13220 Pounds",NON_PBT,"0 Pounds"
"2 CRESCENT PL",No,"250 Pounds",NON_PBT,"0 Pounds"
"2 CRESCENT PL",No,"750 Pounds",NON_PBT,"0 Pounds"
"2 CRESCENT PL",Yes,"750 Pounds",NON_PBT,"0 Pounds"
"2 CUTTERS DOCK RD",Yes,"114 Pounds",NON_PBT,"0 Pounds"
"2 ESTERBROOK LN.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"2 N. HACKENSACK AVE.",Yes,"5 Pounds",NON_PBT,"0 Pounds"
"2 PADDOCK ST.",No,"0 Pounds",NON_PBT,"0 Pounds"
"2 PAPETTI PLAZA",No,"0 Pounds",NON_PBT,"0 Pounds"
"2 PAULISON AVE",No,"1235 Pounds",NON_PBT,"0 Pounds"
"2 PAULISON AVE",Yes,"2468 Pounds",NON_PBT," Pounds"
"2 PAULISON AVE",Yes,"453 Pounds",NON_PBT,"0 Pounds"
"2 PLEASANT VIEW AVE",No,"250 Pounds",NON_PBT,"0 Pounds"
"2 PLEASANT VIEW AVE",Yes,"250 Pounds",NON_PBT,"0 Pounds"
"2 PLEASANT VIEW AVE",Yes,"5 Pounds",NON_PBT,"0 Pounds"
"2 PORETE AVE",No,"0 Pounds",NON_PBT,"0 Pounds"
"2 PORETE AVE",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"300 DOREMUS AVENUE",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"300 FAIRFIELD RD.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"300 INDUSTRIAL AVE.",Yes," Pounds",NON_PBT," Pounds"
"300 MARKLEY ST",Yes,".0004 Pounds",NON_PBT,"0 Pounds"
"300 MARKLEY ST",Yes,".006 Pounds",NON_PBT,"0 Pounds"
"300 MARKLEY ST",Yes,".15 Pounds",NON_PBT,"0 Pounds"
"300 NECK RD.",Yes,"21000 Pounds",NON_PBT,"0 Pounds"
"300 N. ST.",Yes,"2 Pounds",NON_PBT,"0 Pounds"
"300 WATERLOO VALLEY RD",Yes,"124 Pounds",NON_PBT,"0 Pounds"
"301 COMMERCE RD.",No,"5 Pounds",NON_PBT,"0 Pounds"
"301 FRELINGHUYSEN AVE",No,"314 Pounds",NON_PBT,"0 Pounds"
"301 ROCKAWAY VALLEY RD",No,"0 Pounds",NON_PBT,"0 Pounds"
"303 VETERANS BLVD.",No,"0 Pounds",NON_PBT,"0 Pounds"
"304 COX ST",No,"0 Pounds",NON_PBT,"0 Pounds"
"305 3RD AVE W",No,"5977 Pounds",NON_PBT,"0 Pounds"
"305A CRANEWAY ST",No,"0 Pounds",NON_PBT,"0 Pounds"
"305 W FORT LEE RD",No,"0 Pounds",NON_PBT,"0 Pounds"
"306 COLUMBIA TURNPIKE",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"306 COLUMBIA TURNPIKE",Yes,"0 Pounds",NON_PBT,"3 Pounds"
"306 COLUMBIA TURNPIKE",Yes,"0 Pounds",NON_PBT,"9 Pounds"
"306 SUSSEX ST.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"306 SUSSEX ST.",Yes,"750 Pounds",NON_PBT,"0 Pounds"
"307 MAIN ST.",No,"0 Pounds",NON_PBT,"0 Pounds"
"308 MIDDLESEX ST",No,"0 Pounds",NON_PBT,"0 Pounds"
"308 MIDDLESEX ST",No,"1900 Pounds",NON_PBT,"0 Pounds"
"308 MIDDLESEX ST",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"308 MILLER ST.",Yes,"0 Pounds",NON_PBT,"0 Pounds"
"30 AMOR AVE",No,"315 Pounds",NON_PBT,"0 Pounds"
"30 AMOR AVE",Yes,"150 Pounds",NON_PBT,"0 Pounds"
"30 AMOR AVE",Yes,"210 Pounds",NON_PBT,"0 Pounds"
"30 AMOR AVE",Yes,"254 Pounds",NON_PBT,"0 Pounds"
"30 AMOR AVE",Yes,"450 Pounds",NON_PBT,"0 Pounds"
"30 BERGEN TURNPIKE",Yes,"9500 Pounds",NON_PBT,"0 Pounds"
"30 PAUL KOHNER PL",No,"0 Pounds",NON_PBT,"0 Pounds"
"30 SHERWOOD LN.",Yes,"14000 Pounds",NON_PBT,"0 Pounds"
"310 COLFAX AVE",No,"0 Pounds",NON_PBT,"0 Pounds"
